Matteo 1:1	Genealogia di Gesù Cristo figlio di Davide, figlio di Abrahamo.
Matteo 2:16	Allora Erode, vedutosi beffato dai magi, si adirò grandemente, e mandò a uccidere tutti i maschi che erano a Betlemme e in tutto il suo territorio dall’età di due anni in giù, secondo il tempo del quale si era esattamente informato dai magi.
Matteo 2:17	Allora si adempì quello che fu detto per bocca del profeta Geremia:
Matteo 2:18	“Un grido è stato udito a Rama; un pianto e un lamento grande: Rachele piange i suoi figli e rifiuta di essere consolata, perché non sono più”.
Matteo 2:19	Ma dopo che Erode morì, ecco un angelo del Signore apparve in sogno a Giuseppe in Egitto, e gli disse:
Matteo 2:20	“Alzati, prendi il fanciullino e sua madre, e vattene nel paese d’Israele; perché sono morti coloro che cercavano la vita del fanciullino”.
Matteo 2:21	Ed egli, alzatosi, prese il fanciullino e sua madre ed entrò nel paese d’Israele.
Matteo 2:22	Ma udito che in Giudea regnava Archelao invece di Erode, suo padre, temette di andare là; ed essendo stato divinamente avvertito in sogno, si ritirò nelle parti della Galilea,
Matteo 2:23	e venne ad abitare in una città detta Nazaret, affinché si adempisse quello che era stato detto dai profeti, che egli sarebbe stato chiamato Nazareno.
Matteo 3:1	Ora, in quei giorni comparve Giovanni il Battista, predicando nel deserto della Giudea e dicendo:
Matteo 3:2	“Ravvedetevi, poiché il regno dei cieli è vicino”.
Matteo 3:3	Di lui parlò infatti il profeta Isaia quando disse: “C’è una voce di uno che grida nel deserto: ‘Preparate la via del Signore, raddrizzate i suoi sentieri’”.
Matteo 3:4	E lui, Giovanni, aveva un vestito di pelo di cammello e una cintura di cuoio intorno ai fianchi; e il suo cibo erano locuste e miele selvatico.
Matteo 3:5	Allora Gerusalemme e tutta la Giudea e tutto il paese intorno al Giordano presero ad accorrere a lui;
Matteo 3:6	ed erano battezzati da lui nel fiume Giordano, confessando i loro peccati.
Matteo 3:7	Ma vedendo egli molti dei Farisei e dei Sadducei venire al suo battesimo, disse loro: “Razza di vipere, chi vi ha insegnato a fuggire dall’ira a venire?
Matteo 3:8	Producete dunque dei frutti degni del ravvedimento.
Matteo 3:9	E non pensate di dire dentro di voi: ‘Abbiamo per padre Abrahamo’, perché io vi dico che Dio può da queste pietre far sorgere dei figli ad Abrahamo.
Matteo 3:10	E già la scure è posta alla radice degli alberi; ogni albero dunque che non produce buon frutto sta per essere tagliato e gettato nel fuoco.
Matteo 3:11	Ben vi battezzo io con acqua, in vista del ravvedimento; ma colui che viene dopo di me è più forte di me, e io non sono degno di portargli i calzari; egli vi battezzerà con lo Spirito Santo e con il fuoco.
Matteo 3:12	Egli ha il suo ventilabro in mano, e netterà interamente la sua aia, e raccoglierà il suo grano nel granaio, ma arderà la pula con un fuoco inestinguibile”.
Matteo 3:13	Allora Gesù dalla Galilea si recò al Giordano da Giovanni per essere da lui battezzato.
Matteo 3:14	Ma questi vi si opponeva dicendo: “Sono io che ho bisogno di essere battezzato da te, e tu vieni da me?”.
Matteo 3:15	Ma Gesù gli rispose: “Lascia fare per ora; poiché è opportuno che noi adempiamo così ogni giustizia”. Allora Giovanni lo lasciò fare.
Matteo 3:16	E Gesù, non appena fu battezzato, salì fuori dall’acqua; ed ecco i cieli si aprirono, ed egli vide lo Spirito di Dio scendere come una colomba e venire su di lui.
Matteo 3:17	Ed ecco una voce dai cieli che disse: “Questo è il mio Figlio diletto nel quale mi sono compiaciuto”.
Matteo 4:1	Allora Gesù fu condotto dallo Spirito su nel deserto, per essere tentato dal diavolo.
Matteo 4:2	E dopo che ebbe digiunato quaranta giorni e quaranta notti, alla fine ebbe fame.
Matteo 4:3	E il tentatore, accostatosi, gli disse: “Se tu sei il Figlio di Dio, di’ che queste pietre divengano pani”.
Matteo 4:4	Ma egli rispondendo disse: “È scritto: ‘Non di pane soltanto vivrà l’uomo, ma di ogni parola che procede dalla bocca di Dio’”.
Matteo 4:5	Allora il diavolo lo portò con sé nella città santa e lo pose sul pinnacolo del tempio,
Matteo 4:6	e gli disse: “Se tu sei il Figlio di Dio, gettati giù; poiché è scritto: ‘Egli darà ordine ai suoi angeli a tuo riguardo, ed essi ti porteranno sulle loro mani, affinché tu non urti con il piede contro una pietra’”.
Matteo 4:7	Gesù gli disse: “È altresì scritto: ‘Non tentare il Signore tuo Dio’”.
Matteo 4:8	Di nuovo il diavolo lo portò con sé sopra un monte altissimo, e gli mostrò tutti i regni del mondo e la loro gloria, e gli disse:
Matteo 4:9	“Tutte queste cose io te le darò, se, prostrandoti, tu mi adori”.
Matteo 4:10	Allora Gesù gli disse: “Vattene, Satana, poiché è scritto: ‘Adora il Signore tuo Dio, e a lui solo rendi il culto’”.
Matteo 4:11	Allora il diavolo lo lasciò; ed ecco degli angeli andarono da lui e lo servirono.
Matteo 4:12	Ora Gesù, avendo udito che Giovanni era stato messo in prigione, si ritirò in Galilea.
Matteo 4:13	E, lasciata Nazaret, venne ad abitare a Capernaum, città sul mare, ai confini di Zabulon e di Neftali,
Matteo 4:14	affinché si adempisse quello che era stato detto dal profeta Isaia:
Matteo 4:15	“Il paese di Zabulon e il paese di Neftali, sulla via del mare, al di là del Giordano, la Galilea dei Gentili,
Matteo 4:16	il popolo che giaceva nelle tenebre ha veduto una gran luce; su quelli che giacevano nella contrada e nell’ombra della morte una luce è sorta.
Matteo 4:17	Da quel tempo Gesù cominciò a predicare e a dire: “Ravvedetevi, perché il regno dei cieli è vicino”.
Matteo 4:18	Ora, passeggiando lungo il mare della Galilea, egli vide due fratelli, Simone detto Pietro, e Andrea suo fratello, i quali gettavano la rete in mare, poiché erano pescatori.
Matteo 4:19	E disse loro: “Venite dietro a me, e vi farò pescatori d’uomini”.
Matteo 4:20	Ed essi, lasciate prontamente le reti, lo seguirono.
Matteo 4:21	E passato più oltre, vide altri due fratelli, Giacomo di Zebedeo e Giovanni, suo fratello, i quali nella barca, con Zebedeo loro padre, rassettavano le reti; e li chiamò.
Matteo 4:22	Ed essi, lasciata subito la barca e il loro padre, lo seguirono.
Matteo 4:23	E Gesù andava attorno per tutta la Galilea, insegnando nelle loro sinagoghe e predicando il vangelo del Regno, sanando ogni malattia e ogni infermità fra il popolo.
Matteo 4:24	E la sua fama si sparse per tutta la Siria; e gli recarono tutti i malati colpiti da varie infermità e da vari dolori, indemoniati, epilettici, paralitici; ed egli li guarì.
Matteo 4:25	E grandi folle lo seguirono dalla Galilea e dalla Decapoli e da Gerusalemme e dalla Giudea e da oltre il Giordano.
Matteo 5:1	E Gesù, vedendo le folle, salì sul monte; e postosi a sedere, i suoi discepoli si accostarono a lui.
Matteo 5:2	Ed egli, aperta la bocca, li ammaestrò dicendo:
Matteo 5:3	“Beati i poveri in spirito, perché di loro è il regno dei cieli.
Matteo 5:4	Beati quelli che fanno cordoglio, perché essi saranno consolati.
Matteo 5:5	Beati i mansueti, perché essi erediteranno la terra.
Matteo 5:6	Beati quelli che sono affamati e assetati di rettitudine, perché essi saranno saziati.
Matteo 5:7	Beati i misericordiosi, perché a loro misericordia sarà fatta.
Matteo 5:8	Beati i puri di cuore, perché essi vedranno Dio.
Matteo 5:9	Beati quelli che si adoperano per la pace, perché essi saranno chiamati figli di Dio.
Matteo 5:10	Beati i perseguitati a causa della rettitudine, perché di loro è il regno dei cieli.
Matteo 5:11	Beati voi, quando vi oltraggeranno e vi perseguiteranno e, mentendo, diranno contro di voi ogni sorta di male per causa mia.
Matteo 5:12	Rallegratevi e giubilate, perché il vostro premio è grande nei cieli; poiché così hanno perseguitato i profeti che sono stati prima di voi.
Matteo 5:13	Voi siete il sale della terra; ora, se il sale diviene insipido, con che lo si salerà? Non è più buono a nulla se non a essere gettato via e calpestato dagli uomini.
Matteo 5:14	Voi siete la luce del mondo; una città posta sopra un monte non può rimanere nascosta;
Matteo 5:15	e non si accende una lampada per metterla sotto il moggio; anzi la si mette sul candeliere ed essa fa luce a tutti quelli che sono in casa.
Matteo 5:16	Così risplenda la vostra luce nel cospetto degli uomini, affinché vedano le vostre buone opere e glorifichino il Padre vostro che è nei cieli.
Matteo 5:17	Non pensate che io sia venuto per abolire la legge o i profeti; io sono venuto non per abolire ma per compiere:
Matteo 5:18	poiché io vi dico in verità che finché non saranno passati il cielo e la terra, neppure uno iota o un apice della legge passerà finché tutto non sarà adempiuto.
Matteo 5:19	Chi dunque avrà violato uno di questi minimi comandamenti, e avrà così insegnato agli uomini, sarà chiamato minimo nel regno dei cieli; ma chi li avrà messi in pratica e insegnati sarà chiamato grande nel regno dei cieli.
Matteo 5:20	Poiché io vi dico che se la vostra rettitudine non supera quella degli scribi e dei Farisei, voi non entrerete affatto nel regno dei cieli.
Matteo 5:21	Voi avete udito che fu detto agli antichi: ‘Non uccidere’, e ‘Chiunque avrà ucciso sarà sottoposto al tribunale’;
Matteo 5:22	ma io vi dico: chiunque si adira contro suo fratello sarà sottoposto al tribunale; e chi avrà detto a suo fratello ‘raca’ sarà sottoposto al Sinedrio; e chi gli avrà detto ‘pazzo’ sarà condannato alla geenna del fuoco.
Matteo 5:23	Se dunque tu stai per offrire la tua offerta sull’altare, e lì ti ricordi che tuo fratello ha qualcosa contro di te,
Matteo 5:24	lascia lì la tua offerta dinanzi all’altare, e va’ prima a riconciliarti con tuo fratello; e poi vieni a offrire la tua offerta.
Matteo 5:25	Fa’ presto amichevole accordo con il tuo avversario mentre sei ancora per via con lui, affinché il tuo avversario non ti dia nelle mani del giudice, e il giudice nelle mani delle guardie, e tu sia cacciato in prigione.
Matteo 5:26	Io ti dico in verità che da là non uscirai, finché non avrai pagato l’ultimo quattrino.
Matteo 5:27	Voi avete udito che fu detto: ‘Non commettere adulterio’.
Matteo 5:28	Ma io vi dico che chiunque guarda una donna per appetirla, ha già commesso adulterio con lei nel suo cuore.
Matteo 5:29	Ora, se il tuo occhio destro ti fa cadere in peccato, cavalo e gettalo via da te; poiché è meglio per te che una delle tue membra perisca, e non sia gettato il tuo intero corpo nella geenna.
Matteo 5:30	E se la tua mano destra ti fa cadere in peccato, mozzala e gettala via da te; poiché è meglio per te che una delle tue membra perisca, e non vada il tuo intero corpo nella geenna.
Matteo 5:31	Fu detto: ‘Chiunque ripudia sua moglie, le dia l’atto del divorzio’.
Matteo 5:32	Ma io vi dico: chiunque manda via la moglie, salvo che per causa di fornicazione, la fa essere adultera; e chiunque sposa colei che è mandata via commette adulterio.
Matteo 5:33	Avete udito pure che fu detto agli antichi: ‘Non giurare il falso, ma mantieni i tuoi giuramenti fatti al Signore’.
Matteo 5:34	Ma io vi dico: non giurate affatto, né per il cielo, perché è il trono di Dio;
Matteo 5:35	né per la terra, perché è lo sgabello dei suoi piedi; né per Gerusalemme, perché è la città del gran Re.
Matteo 5:36	Non giurare neppure per la tua testa, poiché tu non puoi fare un solo capello bianco o nero.
Matteo 5:37	Ma sia il vostro parlare: ‘Sì, sì; no, no’, poiché ciò che è più di questo viene dal maligno.
Matteo 5:38	Voi avete udito che fu detto: ‘Occhio per occhio e dente per dente’.
Matteo 5:39	Ma io vi dico: non contrastate il malvagio; anzi, se uno ti percuote sulla guancia destra, porgigli anche l’altra;
Matteo 5:40	e a chi vuole litigare con te e toglierti la tunica, lasciagli anche il mantello.
Matteo 5:41	E se uno ti vuole costringere a fare con sé un miglio, fanne con lui due.
Matteo 5:42	Da’ a chi ti chiede, e a chi desidera da te un prestito, non voltare le spalle.
Matteo 5:43	Voi avete udito che fu detto: ‘Ama il tuo prossimo e odia il tuo nemico’.
Matteo 5:44	Ma io vi dico: amate i vostri nemici e pregate per quelli che vi perseguitano,
Matteo 5:45	affinché siate figli del Padre vostro che è nei cieli; poiché Egli fa levare il suo sole sopra i malvagi e sopra i buoni, e fa piovere sui giusti e sugli ingiusti.
Matteo 5:46	Se infatti amate quelli che vi amano, che premio ne avete? Non fanno anche i pubblicani lo stesso?
Matteo 5:47	E se salutate soltanto i vostri fratelli, che fate di straordinario? Non fanno anche i pagani altrettanto?
Matteo 5:48	Voi dunque siate perfetti, come è perfetto il vostro Padre celeste.
Matteo 6:1	Guardatevi dal praticare la vostra rettitudine nel cospetto degli uomini per essere osservati da loro; altrimenti non ne avrete premio presso il vostro Padre che è nei cieli.
Matteo 6:2	Quando dunque fai elemosina, non far suonare la tromba dinanzi a te, come fanno gli ipocriti nelle sinagoghe e nelle strade per essere onorati dagli uomini. Io vi dico in verità che tale è il premio che ne hanno.
Matteo 6:3	Ma quando tu fai elemosina, non sappia la tua sinistra quello che fa la destra,
Matteo 6:4	affinché la tua elemosina si faccia in segreto; e tuo Padre, che vede nel segreto, te ne darà la ricompensa.
Matteo 6:5	E quando pregate, non siate come gli ipocriti; poiché essi amano pregare stando in piedi nelle sinagoghe e agli angoli delle piazze per essere visti dagli uomini. Io vi dico in verità che tale è il premio che ne hanno.
Matteo 6:6	Ma tu, quando preghi, entra nella tua cameretta e, chiusa la porta, prega tuo Padre, che è nel segreto; e tuo Padre, che vede nel segreto, te ne darà la ricompensa.
Matteo 6:7	E nel pregare non usate vane ripetizioni come fanno i pagani, i quali pensano di essere esauditi per la moltitudine delle loro parole.
Matteo 6:8	Non siate dunque come loro, poiché vostro Padre sa le cose di cui avete bisogno, prima che gliele chiediate.
Matteo 6:9	Voi dunque pregate così: Padre nostro che sei nei cieli, sia santificato il tuo nome;
Matteo 6:10	venga il tuo regno; sia fatta la tua volontà anche in terra come è fatta nel cielo.
Matteo 6:11	Dacci oggi il nostro pane quotidiano;
Matteo 6:12	e rimettici i nostri debiti come anche noi li abbiamo rimessi ai nostri debitori;
Matteo 6:13	e non ci esporre alla tentazione, ma liberaci dal maligno.
Matteo 6:14	Perché se voi perdonate agli uomini le loro colpe, il vostro Padre celeste perdonerà anche voi;
Matteo 6:15	ma se voi non perdonate gli uomini, neppure vostro Padre perdonerà le vostre colpe.
Matteo 6:16	E quando digiunate, non siate mesti di aspetto come gli ipocriti; poiché essi si sfigurano la faccia per far vedere agli uomini che digiunano. Io vi dico in verità che tale è il premio che ne hanno.
Matteo 6:17	Ma tu, quando digiuni, ungiti il capo e lavati la faccia,
Matteo 6:18	affinché non appaia agli uomini che tu digiuni, ma a tuo Padre, che è nel segreto; e tuo Padre, che vede nel segreto, te ne darà la ricompensa.
Matteo 6:19	Non vi fate tesori sulla terra, dove la tignola e la ruggine consumano, e dove i ladri scassinano e rubano;
Matteo 6:20	ma fatevi tesori in cielo, dove né tignola né ruggine consumano, e dove i ladri non scassinano né rubano.
Matteo 6:21	Perché dov’è il tuo tesoro, lì sarà anche il tuo cuore.
Matteo 6:22	La lampada del corpo è l’occhio. Se dunque il tuo occhio è sano, tutto il tuo corpo sarà illuminato;
Matteo 6:23	ma se il tuo occhio è viziato, tutto il tuo corpo sarà nelle tenebre. Se dunque la luce che è in te è tenebre, quanto grandi saranno queste tenebre!
Matteo 6:24	Nessuno può servire due padroni; perché o odierà l’uno e amerà l’altro, o si atterrà all’uno e disprezzerà l’altro. Voi non potete servire Dio e Mammona.
Matteo 6:25	Perciò vi dico: non siate preoccupati per la vostra vita, di quel che mangerete o di quel che berrete; né per il vostro corpo, di che vi vestirete. Non è la vita più del nutrimento, e il corpo più del vestito?
Matteo 6:26	Guardate gli uccelli del cielo: non seminano, non mietono, non raccolgono in granai, e il vostro Padre celeste li nutre. Non valete voi molto più di loro?
Matteo 6:27	E chi di voi può con la sua preoccupazione aggiungere alla sua statura un solo cubito?
Matteo 6:28	E riguardo al vestire, perché siete preoccupati? Considerate come crescono i gigli dei campi; essi non faticano e non filano;
Matteo 6:29	eppure io vi dico che nemmeno Salomone, con tutta la sua gloria, fu vestito come uno di loro.
Matteo 6:30	Ora, se Dio riveste in questa maniera l’erba dei campi che oggi è e domani è gettata nel forno, non vestirà Egli molto più voi, o gente di poca fede?
Matteo 6:31	Non siate dunque preoccupati, dicendo: ‘Che mangeremo? Che berremo? O di che ci vestiremo?’.
Matteo 6:32	Poiché sono i pagani che ricercano tutte queste cose; e il vostro Padre celeste sa che avete bisogno di tutte queste cose.
Matteo 6:33	Ma cercate prima il regno e la rettitudine di Dio, e tutte queste cose vi saranno aggiunte.
Matteo 6:34	Non siate dunque preoccupati del domani; perché il domani si preoccuperà di se stesso. Basta a ciascun giorno il suo affanno”.
Matteo 7:1	“Non giudicate, affinché non siate giudicati;
Matteo 7:2	perché col giudizio con il quale giudicate, sarete giudicati; e con la misura con cui misurate, sarà misurato a voi.
Matteo 7:3	E perché guardi tu il bruscolo che è nell’occhio di tuo fratello, mentre non scorgi la trave che è nel tuo occhio?
Matteo 7:4	O come potrai tu dire a tuo fratello: ‘Lascia che io ti tolga dall’occhio il bruscolo’, mentre ecco nel tuo occhio c’è la trave?
Matteo 7:5	Ipocrita, togli prima la trave dal tuo occhio, e allora ci vedrai bene per togliere il bruscolo dall’occhio di tuo fratello.
Matteo 7:6	Non date ciò che è santo ai cani e non gettate le vostre perle dinanzi ai porci, affinché non le pestino con i piedi e, volgendosi contro di voi, non vi sbranino.
Matteo 7:7	Chiedete e vi sarà dato; cercate e troverete; bussate e vi sarà aperto;
Matteo 7:8	perché chiunque chiede riceve; chi cerca trova, e sarà aperto a chi bussa.
Matteo 7:9	E qual è l’uomo fra voi che, se il figlio gli chiede un pane, gli dà una pietra?
Matteo 7:10	Oppure se gli chiede un pesce gli dà un serpente?
Matteo 7:11	Se dunque voi, che siete malvagi, sapete dare buoni doni ai vostri figli, quanto più il Padre vostro che è nei cieli darà Egli cose buone a coloro che gliele domandano!
Matteo 7:12	Tutte le cose dunque che voi volete che gli uomini vi facciano, fatele anche voi a loro; perché questa è la legge e i profeti.
Matteo 7:13	Entrate per la porta stretta, poiché larga è la porta e spaziosa la via che conduce alla perdizione, e molti sono quelli che entrano per essa.
Matteo 7:14	Stretta invece è la porta e angusta la via che conduce alla vita, e pochi sono quelli che la trovano.
Matteo 7:15	Guardatevi dai falsi profeti, che vengono da voi vestiti da pecore, ma dentro sono lupi rapaci.
Matteo 7:16	Voi li riconoscerete dai loro frutti. Si colgono forse delle uve dalle spine, o dei fichi dai triboli?
Matteo 7:17	Così, ogni albero buono fa frutti buoni; ma l’albero cattivo fa frutti cattivi.
Matteo 7:18	Un albero buono non può fare frutti cattivi, né un albero cattivo fare frutti buoni.
Matteo 7:19	Ogni albero che non fa buon frutto è tagliato e gettato nel fuoco.
Matteo 7:20	Voi li riconoscerete dunque dai loro frutti.
Matteo 7:21	Non chiunque mi dice: ‘Signore, Signore’, entrerà nel regno dei cieli, ma chi fa la volontà del Padre mio che è nei cieli.
Matteo 7:22	Molti mi diranno in quel giorno: ‘Signore, Signore, non abbiamo noi profetizzato in nome tuo, e in nome tuo cacciato demoni, e fatto in nome tuo molte opere potenti?’.
Matteo 7:23	E allora dichiarerò loro: ‘Io non vi conobbi mai; allontanatevi da me, voi tutti operatori di iniquità’.
Matteo 7:24	Perciò chiunque ode queste mie parole e le mette in pratica sarà paragonato a un uomo avveduto che ha edificato la sua casa sulla roccia.
Matteo 7:25	E la pioggia è caduta, e sono venuti i torrenti, e i venti hanno soffiato e hanno investito quella casa; ma essa non è caduta, perché era fondata sulla roccia.
Matteo 7:26	E chiunque ode queste mie parole e non le mette in pratica sarà paragonato a un uomo stolto che ha edificato la sua casa sulla sabbia.
Matteo 7:27	E la pioggia è caduta, e sono venuti i torrenti, e i venti hanno soffiato e si sono abbattuti contro quella casa; ed essa è caduta, e la sua rovina è stata grande”.
Matteo 7:28	E avvenne che quando Gesù ebbe finito questi discorsi, le folle erano stupite del suo insegnamento,
Matteo 7:29	perché egli le ammaestrava come avendo autorità, e non come i loro scribi.
Matteo 8:1	Ora, quando egli scese dal monte, grandi folle lo seguirono.
Matteo 8:2	Ed ecco, un lebbroso, accostatosi, gli si prostrò dinanzi dicendo: “Signore, se vuoi, tu puoi purificarmi”.
Matteo 8:3	E Gesù, stesa la mano, lo toccò dicendo: “Lo voglio, sii purificato”. E in quell’istante egli fu purificato dalla sua lebbra.
Matteo 8:4	E Gesù gli disse: “Guarda di non dirlo a nessuno: ma va’, mostrati al sacerdote e fa’ l’offerta che Mosè ha prescritto; e ciò serva loro di testimonianza”.
Matteo 8:5	Ora, quando egli entrò a Capernaum, un centurione andò da lui pregandolo e dicendo:
Matteo 8:6	“Signore, il mio servitore giace in casa paralitico, gravemente tormentato”.
Matteo 8:7	Gesù gli disse: “Io verrò e lo guarirò”. Ma il centurione rispondendo disse:
Matteo 8:8	“Signore, io non sono degno che tu entri sotto il mio tetto; ma di’ soltanto una parola e il mio servitore sarà guarito.
Matteo 8:9	Poiché anch’io sono un uomo sottoposto ad altri e ho sotto di me dei soldati; e dico a uno: ‘Vai’, ed egli va; e ad un altro: ‘Vieni’, ed egli viene; e al mio servo: ‘Fa’ questo’, ed egli lo fa.”
Matteo 8:10	E Gesù, udito questo, ne restò meravigliato, e disse a quelli che lo seguivano: “Io vi dico in verità che in nessuno, in Israele, ho trovato così tanta fede.
Matteo 8:11	Ora, io vi dico che molti verranno da levante e da ponente e siederanno a tavola con Abrahamo e Isacco e Giacobbe, nel regno dei cieli;
Matteo 8:12	ma i figli del regno saranno gettati nelle tenebre di fuori. Lì ci sarà il pianto e lo stridor di denti.”
Matteo 8:13	E Gesù disse al centurione: “Va’, ti sia fatto come hai creduto”. E il servitore fu guarito in quell’ora stessa.
Matteo 8:14	Poi Gesù, entrato nella casa di Pietro, vide sua suocera che giaceva a letto con la febbre; ed egli le toccò la mano e la febbre la lasciò.
Matteo 8:15	Ella si alzò e si mise a servirlo.
Matteo 8:16	Poi, venuta la sera, gli presentarono molti indemoniati; ed egli, con la parola, scacciò gli spiriti e guarì tutti i malati,
Matteo 8:17	affinché si adempisse quel che fu detto per bocca del profeta Isaia: “Egli stesso ha preso le nostre infermità e ha portato le nostre malattie”.
Matteo 8:18	Ora Gesù, vedendo una gran folla intorno a sé, comandò che si passasse all’altra riva.
Matteo 8:19	Allora uno scriba, accostatosi, gli disse: “Maestro, io ti seguirò dovunque tu vada”.
Matteo 8:20	E Gesù gli disse: “Le volpi hanno delle tane e gli uccelli del cielo dei nidi, ma il Figlio dell’uomo non ha dove posare il capo”.
Matteo 8:21	E un altro dei discepoli gli disse: “Signore, permettimi di andare prima a seppellire mio padre”.
Matteo 8:22	Ma Gesù gli disse: “Seguimi e lascia che i morti seppelliscano i loro morti.
Matteo 8:23	Ed essendo egli entrato nella barca, i suoi discepoli lo seguirono.
Matteo 8:24	Ed ecco farsi in mare una così gran burrasca che la barca era coperta dalle onde; ma Gesù dormiva.
Matteo 8:25	E i suoi discepoli, accostatisi, lo svegliarono dicendo: “Signore, salvaci, siamo perduti”.
Matteo 8:26	Ed egli disse loro: “Perché avete paura, o gente di poca fede?” Allora, alzatosi, sgridò i venti e il mare, e si fece gran bonaccia.
Matteo 8:27	E quegli uomini si meravigliarono, dicendo: “Che uomo è mai questo che anche i venti e il mare gli obbediscono?”.
