Matthäus 1:1	Stammbaum Jesu Christi, des Sohnes Davids, des Sohnes Abrahams:
Matthäus 2:21	Da stand Josef auf, nahm das Kindlein und seine Mutter mit sich und kehrte in das Land Israel zurück.
Matthäus 2:22	Als er aber vernahm, dass Archelaus anstelle seines Vaters Herodes König über Judäa sei, hatte er Bedenken, dorthin zu gehen. Vielmehr begab er sich infolge einer göttlichen Weisung, die er im Traum erhalten hatte, in das Gebiet Galiläa
Matthäus 2:23	und ließ sich dort in einer Stadt namens Nazaret nieder. So ging das Prophetenwort in Erfüllung: Er werde den Namen „Nazoräer“ führen.
Matthäus 3:1	In jenen Tagen trat aber Johannes der Täufer öffentlich auf und predigte in der Wüste von Judäa:
Matthäus 3:2	„Kehrt um, denn das Himmelreich ist nahe herbeigekommen!“
Matthäus 3:3	Dieser ist nämlich der Mann, auf den sich das Wort des Propheten Jesaja bezieht, der da sagt: „Eine Stimme ruft laut in der Wüste: ‚Bereitet den Weg des Herrn! Macht gerade seine Pfade!‘“
Matthäus 3:4	Johannes selbst aber trug ein Gewand aus Kamelhaaren und einen Ledergurt um seine Hüften; seine Nahrung bestand aus Heuschrecken und wildem Honig.
Matthäus 3:5	Da zogen denn Jerusalem und ganz Judäa und die ganze Gegend am Jordan zu ihm hinaus
Matthäus 3:6	und ließen sich im Fluss Jordan von ihm taufen und bekannten offen ihre Sünden.
Matthäus 3:7	Als er aber einmal viele Pharisäer und Sadduzäer zu seiner Taufe kommen sah, sagte er zu ihnen: „Ihr Schlangenbrut! Wer hat euch auf den Gedanken gebracht, dem drohenden Zorngericht zu entfliehen?
Matthäus 3:8	So bringt denn Früchte, die der Umkehr würdig sind,
Matthäus 3:9	und lasst euch nicht in den Sinn kommen, bei euch zu sagen: ‚Wir haben ja Abraham zum Vater.‘ Denn ich sage euch: Gott vermag dem Abraham aus den Steinen hier Kinder zu erwecken.
Matthäus 3:10	Schon ist aber den Bäumen die Axt an die Wurzel gelegt, und jeder Baum, der nicht gute Früchte bringt, wird abgehauen und ins Feuer geworfen.
Matthäus 3:11	Ich taufe euch nur mit Wasser zur Umkehr; der aber nach mir kommt, ist stärker als ich, und ich bin nicht gut genug, ihm seine Schuhe abzunehmen: Der wird euch mit dem Heiligen Geist und mit Feuer taufen.
Matthäus 3:12	Er hat die Worfschaufel in seiner Hand und wird seine Tenne gründlich reinigen; seinen Weizen wird er in die Scheune sammeln, die Spreu aber mit unlöschbarem Feuer verbrennen.“
Matthäus 3:13	Damals kam Jesus von Galiläa her an den Jordan zu Johannes, um sich auch von ihm taufen zu lassen.
Matthäus 3:14	Der wollte ihm aber nicht zu Willen sein und sagte: „Ich müsste von dir getauft werden, und du kommst zu mir?“
Matthäus 3:15	Doch Jesus gab ihm zur Antwort: „Lass es für diesmal geschehen, denn so gebührt es uns, alle Gerechtigkeit zu erfüllen.“ Da gab Johannes ihm nach.
Matthäus 3:16	Als Jesus aber getauft und soeben aus dem Wasser gestiegen war, siehe, da tat sich ihm die Himmel auf, und er sah den Geist Gottes wie eine Taube herabschweben und auf ihn kommen.
Matthäus 3:17	Und siehe, eine Stimme erschallte aus den Himmeln: „Dieser ist mein geliebter Sohn, an dem ich Wohlgefallen gefunden habe!“
Matthäus 4:1	Hierauf wurde Jesus vom Geist in die Wüste hinaufgeführt, um vom Teufel versucht zu werden;
Matthäus 4:2	und als er vierzig Tage und vierzig Nächte gefastet hatte, hungerte ihn zuletzt.
Matthäus 4:3	Da trat der Versucher an ihn heran und sagte zu ihm: „Bist du Gottes Sohn, so gebiete, dass diese Steine zu Broten werden.“
Matthäus 4:4	Er aber gab ihm zur Antwort: „Es steht geschrieben: ‚Nicht vom Brot allein soll der Mensch leben, sondern von jedem Wort, das durch den Mund Gottes ergeht.‘“
Matthäus 4:5	Hierauf nahm ihn der Teufel mit sich in die heilige Stadt, stellte ihn dort auf die Zinne des Tempels
Matthäus 4:6	und sagte zu ihm: „Bist du Gottes Sohn, so stürze dich hier hinab! Denn es steht geschrieben: ‚Er wird seine Engel für dich entbieten, und sie werden dich auf den Armen tragen, damit du mit deinem Fuß an keinen Stein stößt.‘“
Matthäus 4:7	Jesus antwortete ihm: „Es steht aber auch geschrieben: ‚Du sollst den Herrn, deinen Gott, nicht versuchen!‘“
Matthäus 4:8	Nochmals nahm ihn der Teufel mit sich auf einen sehr hohen Berg, zeigte ihm alle Königreiche der Welt samt ihrer Herrlichkeit
Matthäus 4:9	und sagte zu ihm: „Dies alles will ich dir geben, wenn du dich niederwirfst und mich anbetest.“
Matthäus 4:10	Da antwortete ihm Jesus: „Weg mit dir, Satan! Denn es steht geschrieben: ‚Den Herrn, deinen Gott, sollst du anbeten und ihm allein dienen!‘“
Matthäus 4:11	Nun ließ der Teufel von ihm ab, und siehe, Engel traten zu ihm und dienten ihm.
Matthäus 4:12	Als Jesus aber von der Gefangennahme des Johannes Kunde erhielt, zog er sich nach Galiläa zurück;
Matthäus 4:13	er verließ jedoch Nazaret und verlegte seinen Wohnsitz nach Kafarnaum, das am See liegt im Gebiet von Sebulon und Naftali,
Matthäus 4:14	damit das Wort des Propheten Jesaja erfüllt werde, das da lautet:
Matthäus 4:15	„Das Land Sebulon und das Land Naftali, das nach dem See zu liegt, das Land jenseits des Jordans, das Galiläa der Heiden,
Matthäus 4:16	das Volk, das im Finstern saß, hat ein großes Licht gesehen, und denen, die im Lande und Schatten des Todes saßen, ist ein Licht erschienen.“
Matthäus 4:17	Von dieser Zeit an begann Jesus das Evangelium mit den Worten zu verkündigen: „Kehrt um, denn das Himmelreich ist nahe herbeigekommen!“
Matthäus 4:18	Als er nun eines Tages am Ufer des Sees von Galiläa hinging, sah er zwei Brüder, Simon, der auch den Namen Petrus führt, und seinen Bruder Andreas, die ein Netz in den See auswarfen; sie waren nämlich Fischer.
Matthäus 4:19	Er sagte zu ihnen: „Kommt, folgt mir nach, so will ich euch zu Menschenfischern machen!“
Matthäus 4:20	Da ließen sie sogleich ihre Netze liegen und folgten ihm nach.
Matthäus 4:21	Als er dann von dort weiterging, sah er ein anderes Brüderpaar, nämlich Jakobus, den Sohn des Zebedäus, und seinen Bruder Johannes, die im Boot mit ihrem Vater Zebedäus ihre Netze instand setzten; und er berief auch sie.
Matthäus 4:22	Da verließen sie sogleich das Boot und ihren Vater und folgten ihm nach.
Matthäus 4:23	Jesus zog dann in ganz Galiläa umher, indem er in ihren Synagogen lehrte, das Evangelium vom Reich Gottes verkündigte und alle Krankheiten und alle Gebrechen im Volk heilte;
Matthäus 4:24	und der Ruf von ihm verbreitete sich durch ganz Syrien, und man brachte alle, die an den verschiedenartigsten Krankheiten litten und mit schmerzhaften Übeln behaftet waren, Besessene, Fallsüchtige und Gelähmte, und er heilte sie.
Matthäus 4:25	So begleiteten ihn denn große Menschenscharen aus Galiläa und aus dem Gebiet der Zehn Städte sowie aus Jerusalem und Judäa und aus dem Ostjordanland.
Matthäus 5:1	Als Jesus nun die Menschenscharen sah, ging er ins Gebirge hinauf, und nachdem er sich dort gesetzt hatte, traten seine Jünger zu ihm.
Matthäus 5:2	Da tat er seinen Mund auf und lehrte sie mit den Worten:
Matthäus 5:3	Selig sind die geistlich Armen, denn ihnen wird das Himmelreich zuteil!
Matthäus 5:4	Selig sind die Bekümmerten, denn sie werden getröstet werden!
Matthäus 5:5	Selig sind die Sanftmütigen, denn sie werden das Land ererben!
Matthäus 5:6	Selig sind, die nach der Gerechtigkeit hungern und dürsten, denn sie werden gesättigt werden!
Matthäus 5:7	Selig sind die Barmherzigen, denn sie werden Barmherzigkeit erlangen!
Matthäus 5:8	Selig sind, die reinen Herzens sind, denn sie werden Gott schauen!
Matthäus 5:9	Selig sind die Friedfertigen, denn sie werden Söhne Gottes heißen!
Matthäus 5:10	Selig sind, die um der Gerechtigkeit willen Verfolgung erleiden, denn ihnen wird das Himmelreich zuteil!
Matthäus 5:11	Selig seid ihr, wenn man euch um meinetwillen schmäht und verfolgt und euch lügnerisch alles Böse nachredet!
Matthäus 5:12	Freuet euch darüber und jubelt, denn euer Lohn ist groß im Himmel! Ebenso hat man ja auch die Propheten vor euch verfolgt.
Matthäus 5:13	Ihr seid das Salz der Erde! Wenn aber das Salz fade geworden ist, womit soll es wieder gesalzen werden? Es taugt zu nichts mehr, als aus dem Haus geworfen und von den Leuten zertreten zu werden.
Matthäus 5:14	Ihr seid das Licht der Welt! Eine Stadt, die oben auf einem Berg liegt, kann nicht verborgen bleiben.
Matthäus 5:15	Man zündet auch nicht ein Licht an und stellt es unter den Scheffel, sondern auf den Leuchter: Dann leuchtet es allen, die im Haus sind.
Matthäus 5:16	Ebenso soll auch euer Licht vor den Menschen leuchten, damit sie eure guten Werke sehen und euren Vater, der im Himmel ist, preisen.
Matthäus 5:17	Denkt nicht, dass ich gekommen sei, das Gesetz oder die Propheten aufzuheben! Ich bin nicht gekommen, um aufzuheben, sondern zu erfüllen.
Matthäus 5:18	Denn wahrlich, ich sage euch: Bis Himmel und Erde vergehen, wird vom Gesetz nicht ein einziges Jota und kein Strichlein vergehen, bis alles in Erfüllung gegangen ist.
Matthäus 5:19	Wer also ein einziges von diesen Geboten – und wäre es das geringste – aufhebt und die Menschen demgemäß lehrt, der wird der Geringste im Himmelreich heißen; wer sie aber hält und die Menschen so lehrt, der wird groß im Himmelreich heißen.
Matthäus 5:20	Denn ich sage euch: Wenn es um eure Gerechtigkeit nicht weit besser bestellt ist als um die der Schriftgelehrten und Pharisäer, so werdet ihr nimmermehr ins Himmelreich eingehen!
Matthäus 5:21	Ihr habt gehört, dass den Alten geboten worden ist: ‚Du sollst nicht töten‘, wer aber tötet, soll dem Gericht verfallen sein.
Matthäus 5:22	Ich dagegen sage euch: Wer seinem Bruder auch nur zürnt, der soll dem Gericht verfallen sein; und wer zu seinem Bruder ‚Dummkopf‘ sagt, soll dem Hohen Rat verfallen sein; und wer ‚du Narr‘ zu ihm sagt, soll dem Feuer der Hölle verfallen sein.
Matthäus 5:23	Wenn du also deine Opfergabe zum Altar bringst und dich dort erinnerst, dass dein Bruder etwas gegen dich hat,
Matthäus 5:24	so lass deine Gabe dort vor dem Altar und gehe zunächst hin und versöhne dich mit deinem Bruder; alsdann geh hin und opfere deine Gabe!
Matthäus 5:25	Sei zum Vergleich mit deinem Widersacher ohne Säumen bereit, solange du mit ihm noch auf dem Weg zum Richter bist, damit dein Widersacher dich nicht dem Richter übergibt und der Richter dich dem Gerichtsdiener überantwortet und du ins Gefängnis gesetzt wirst.
Matthäus 5:26	Wahrlich, ich sage dir: Du wirst von dort sicherlich nicht herauskommen, bis du den letzten Pfennig bezahlt hast.
Matthäus 5:27	Ihr habt gehört, dass den Alten geboten worden ist: ‚Du sollst nicht ehebrechen!‘
Matthäus 5:28	Ich dagegen sage euch: Wer eine Frau auch nur mit Begehrlichkeit anblickt, hat damit schon in seinem Herzen Ehebruch an ihr begangen.
Matthäus 5:29	Wenn dich also dein rechtes Auge ärgert, so reiß es aus und wirf es weg von dir; denn es ist besser für dich, dass eins deiner Glieder dir verloren geht, als dass dein ganzer Leib in die Hölle geworfen wird.
Matthäus 5:30	Und wenn deine rechte Hand dich ärgert, so haue sie ab und wirf sie weg von dir; denn es ist besser für dich, dass eins deiner Glieder dir verloren geht, als dass dein ganzer Leib in die Hölle geworfen wird.
Matthäus 5:31	Ferner ist zu den Alten gesagt worden: ‚Wer seine Ehefrau entlässt, der soll ihr einen Scheidebrief geben!‘
Matthäus 5:32	Ich dagegen sage euch: Wer sich von seiner Frau scheidet – außer aufgrund von Unzucht –, der verschuldet es, dass sie Ehebruch begeht; und wer eine entlassene Frau heiratet, der begeht Ehebruch.
Matthäus 5:33	Ihr habt weiter gehört, dass den Alten geboten worden ist: ‚Du sollst nicht falsch schwören‘, ‚sollst aber dem Herrn deine Eide erfüllen!‘
Matthäus 5:34	Ich dagegen sage euch: Ihr sollt überhaupt nicht schwören, weder beim Himmel, denn er ist Gottes Thron,
Matthäus 5:35	noch bei der Erde, denn sie ist der Schemel seiner Füße, noch bei Jerusalem, denn es ist die Stadt des großen Königs.
Matthäus 5:36	Auch bei deinem Haupte sollst du nicht schwören, denn du vermagst kein einziges Haar weiß oder schwarz zu machen.
Matthäus 5:37	Eure Rede sei vielmehr: ‚Ja, ja – nein, nein‘; jeder weitere Zusatz ist vom Übel.
Matthäus 5:38	Ihr habt gehört, dass den Alten geboten worden ist: ‚Auge um Auge und Zahn um Zahn!‘
Matthäus 5:39	Ich dagegen sage euch: Ihr sollt dem Bösen keinen Widerstand leisten; sondern wer dich auf die rechte Wange schlägt, dem halte auch die andere hin,
Matthäus 5:40	und wer mit dir einen Rechtsstreit anfangen und dir den Rock nehmen will, dem überlass auch noch den Mantel,
Matthäus 5:41	und wer dich zu einer Meile Weges nötigt, mit dem gehe zwei.
Matthäus 5:42	Wer dich um etwas bittet, dem gib, und wer Geld von dir borgen will, den weise nicht ab!
Matthäus 5:43	Ihr habt gehört, dass den Alten geboten worden ist: ‚Du sollst deinen Nächsten lieben und deinen Feind hassen!‘
Matthäus 5:44	Ich dagegen sage euch: Liebet eure Feinde und betet für eure Verfolger,
Matthäus 5:45	damit ihr euch als Söhne eures himmlischen Vaters erweist. Denn er lässt seine Sonne über Böse und Gute aufgehen und lässt es regnen auf Gerechte und Ungerechte.
Matthäus 5:46	Denn wenn ihr nur die liebt, die euch lieben, welches Verdienst habt ihr da? Tun das nicht auch die Zöllner?
Matthäus 5:47	Und wenn ihr nur eure Brüder grüßt, was tut ihr da Besonderes? Tun das nicht auch die Heiden?
Matthäus 5:48	Darum sollt ihr vollkommen sein, wie euer himmlischer Vater vollkommen ist.“
Matthäus 6:1	„Gebt acht darauf, dass ihr eure Gerechtigkeit nicht vor den Leuten ausübt, um von ihnen gesehen zu werden; sonst habt ihr keinen Lohn zu erwarten bei eurem Vater im Himmel!
Matthäus 6:2	Wenn du also Almosen spenden willst, so lass nicht vor dir her posaunen, wie es die Heuchler in den Synagogen und auf den Straßen tun, um von den Leuten gerühmt zu werden. Wahrlich, ich sage euch: Sie haben ihren Lohn damit schon empfangen.
Matthäus 6:3	Nein, wenn du Almosen gibst, so lass deine linke Hand nicht wissen, was deine rechte tut,
Matthäus 6:4	damit deine Wohltätigkeit im Verborgenen geschehe; dein Vater aber, der auch ins Verborgene sieht, wird es dir alsdann vergelten.
Matthäus 6:5	Auch wenn ihr betet, sollt ihr es nicht wie die Heuchler machen; denn sie stellen sich gern in den Synagogen und an den Straßenecken auf und beten dort, um den Leuten ins Auge zu fallen; wahrlich, ich sage euch: Sie haben ihren Lohn damit schon empfangen.
Matthäus 6:6	Du aber, wenn du beten willst, so geh in deine Kammer, schließe deine Tür zu und bete zu deinem Vater, der im Verborgenen ist; dein Vater aber, der auch ins Verborgene sieht, wird es dir alsdann vergelten.
Matthäus 6:7	Und wenn ihr betet, sollt ihr nicht plappern wie die Heiden; denn sie meinen, Erhörung zu finden, wenn sie viele Worte machen.
Matthäus 6:8	Darum macht es nicht wie sie; euer Vater weiß ja, wessen ihr bedürft, ehe ihr ihn bittet.
Matthäus 6:9	Darum sollt ihr so beten: ‚Unser Vater, der du bist im Himmel: Geheiligt werde dein Name!
Matthäus 6:10	Dein Reich komme! Dein Wille geschehe wie im Himmel, so auch auf der Erde!
Matthäus 6:11	Unser tägliches Brot gib uns heute!
Matthäus 6:12	Und vergib uns unsere Schulden, wie auch wir sie unseren Schuldnern vergeben haben!
Matthäus 6:13	Und führe uns nicht in Versuchung, sondern erlöse uns von dem Bösen!‘
Matthäus 6:14	Denn wenn ihr den Menschen ihre Verfehlungen vergebt, so wird euer himmlischer Vater auch euch vergeben;
Matthäus 6:15	wenn ihr sie aber den Menschen nicht vergebt, so wird euer Vater euch eure Verfehlungen auch nicht vergeben.
Matthäus 6:16	Weiter: Wenn ihr fastet, sollt ihr kein finsteres Gesicht machen wie die Heuchler; denn sie geben sich ein trübseliges Aussehen, um sich den Leuten mit ihrem Fasten zur Schau zu stellen. Wahrlich, ich sage euch: Sie haben ihren Lohn damit schon empfangen.
Matthäus 6:17	Du aber, wenn du fastest, salbe dir das Haupt und wasche dir das Gesicht,
Matthäus 6:18	um dich nicht mit deinem Fasten den Leuten zu zeigen, sondern deinem Vater, der im Verborgenen ist; dein Vater aber, der auch ins Verborgene sieht, wird es dir alsdann vergelten.
Matthäus 6:19	Sammelt euch nicht Schätze hier auf der Erde, wo Motten und Rost sie vernichten und wo Diebe einbrechen und stehlen!
Matthäus 6:20	Sammelt euch vielmehr Schätze im Himmel, wo weder Motten noch Rost sie vernichten und wo keine Diebe einbrechen und stehlen!
Matthäus 6:21	Denn wo dein Schatz ist, da wird auch dein Herz sein.
Matthäus 6:22	Die Leuchte des Leibes ist das Auge. Wenn nun dein Auge gesund ist, so wird dein ganzer Leib voll Licht sein;
Matthäus 6:23	wenn aber dein Auge nichts taugt, so wird dein ganzer Leib finster sein. Wenn also das in dir befindliche Licht Dunkelheit ist, wie groß muss dann die Dunkelheit sein!
Matthäus 6:24	Niemand kann gleichzeitig zwei sich widerstreitenden Herren dienen; denn entweder wird er den einen hassen und den anderen lieben, oder er wird dem einen ergeben sein und den anderen missachten: ihr könnt nicht gleichzeitig Gott und dem Mammon dienen.
Matthäus 6:25	Deswegen sage ich euch: Macht euch keine Sorgen um euer Leben, was ihr essen und was ihr trinken sollt, auch nicht um euern Leib, was ihr anziehen sollt. Ist nicht das Leben wertvoller als die Nahrung und der Leib wertvoller als die Kleidung?
Matthäus 6:26	Sehet die Vögel des Himmels an: Sie säen nicht und ernten nicht und sammeln nichts in Scheunen, und euer himmlischer Vater ernährt sie doch. Seid ihr denn nicht viel mehr wert als sie?
Matthäus 6:27	Wer von euch vermöchte aber mit all seinem Sorgen der Länge seiner Lebenszeit auch nur eine einzige Spanne hinzuzusetzen?
Matthäus 6:28	Und was macht ihr euch Sorgen um die Kleidung? Betrachtet die Lilien auf dem Felde, wie sie wachsen! Sie arbeiten nicht und spinnen nicht;
Matthäus 6:29	und doch sage ich euch: Auch Salomo in all seiner Pracht ist nicht so herrlich gekleidet gewesen wie eine von ihnen.
Matthäus 6:30	Wenn nun Gott schon das Gras des Feldes, das heute steht und morgen in den Ofen geworfen wird, so kleidet: Wird er das nicht viel mehr euch tun, ihr Kleingläubigen?
Matthäus 6:31	Darum sollt ihr euch nicht sorgen und sagen: ‚Was sollen wir essen, was trinken, womit sollen wir uns kleiden?‘
Matthäus 6:32	Denn auf alles Derartige sind die Heiden bedacht. Euer himmlischer Vater weiß ja, dass ihr all dessen bedürft.
Matthäus 6:33	Nein, trachtet zuerst nach dem Reich Gottes und nach seiner Gerechtigkeit, dann wird euch all das andere hinzugegeben werden.
Matthäus 6:34	Macht euch also keine Sorgen um den morgigen Tag! Denn der morgige Tag wird seine eigenen Sorgen haben: Jeder Tag hat an seiner eigenen Mühsal genug.“
Matthäus 7:1	„Richtet nicht, damit ihr nicht auch gerichtet werdet!
Matthäus 7:2	Denn mit demselben Gericht, mit dem ihr richtet, werdet auch ihr gerichtet werden, und mit demselben Maß, mit dem ihr messt, wird auch euch gemessen werden.
Matthäus 7:3	Was siehst du aber den Splitter im Auge deines Bruders, während du den Balken in deinem eigenen Auge nicht wahrnimmst?
Matthäus 7:4	Oder wie darfst du zu deinem Bruder sagen: ‚Lass mich den Splitter aus deinem Auge ziehen‘? Und dabei steckt der Balken in deinem Auge!
Matthäus 7:5	Du Heuchler, ziehe zuerst den Balken aus deinem Auge, dann magst du zusehen, wie du den Splitter aus deines Bruders Auge ziehst.
Matthäus 7:6	Gebt das Heilige nicht den Hunden preis und werft eure Perlen nicht den Schweinen vor, damit diese sie nicht mit ihren Füßen zertreten und sich umwenden und euch zerreißen.
Matthäus 7:7	Bittet, so wird euch gegeben werden; suchet, so werdet ihr finden; klopfet an, so wird euch aufgetan werden!
Matthäus 7:8	Denn wer da bittet, der empfängt, und wer da sucht, der findet, und wer anklopft, dem wird aufgetan werden.
Matthäus 7:9	Oder wo wäre jemand unter euch, der seinem Sohn, wenn er ihn um Brot bittet, einen Stein reichte?
Matthäus 7:10	Oder der, wenn er ihn um einen Fisch bittet, ihm eine Schlange gäbe?
Matthäus 7:11	Wenn nun ihr, die ihr doch böse seid, euren Kindern gute Gaben zu geben versteht; wieviel mehr wird euer Vater im Himmel denen Gutes geben, die ihn bitten!
Matthäus 7:12	Alles nun, was ihr von den Menschen erwartet, das erweist auch ihr ihnen ebenso; denn darin besteht die Erfüllung des Gesetzes und der Propheten.
Matthäus 7:13	Geht in das Reich Gottes durch die enge Pforte ein; denn weit ist die Pforte und breit der Weg, der ins Verderben führt, und es sind ihrer viele, die auf ihm hineingehen.
Matthäus 7:14	Eng ist dagegen die Pforte und schmal der Weg, der ins Leben führt! Und nur wenige sind es, die ihn finden.
Matthäus 7:15	Hütet euch vor den falschen Propheten, die in Schafskleidern zu euch kommen, im Inneren aber räuberische Wölfe sind.
