Mateo 1:1	Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham:
Mateo 7:20	Así que, por sus frutos los conoceréis.
Mateo 7:21	No todo el que me dice: Señor, Señor, entrará en el reino de los cielos, sino el que hace la voluntad de mi Padre que está en los cielos.
Mateo 7:22	Muchos me dirán en aquel día: Señor, Señor, ¿no profetizamos en tu nombre, y en tu nombre echamos fuera demonios y en tu nombre hicimos muchos milagros?
Mateo 7:23	Y entonces les declararé: Nunca os conocí; apartaos de mí, hacedores de maldad.
Mateo 7:24	A cualquiera, pues, que me oye estas palabras y las hace, le compararé a un hombre prudente que edificó su casa sobre la roca.
Mateo 7:25	Y descendió la lluvia, y vinieron ríos, y soplaron vientos y azotaron aquella casa; pero no cayó, porque estaba fundada sobre la roca.
Mateo 7:26	Y a cualquiera que me oye estas palabras y no las hace, le compararé a un hombre insensato que edificó su casa sobre la arena.
Mateo 7:27	Y descendió la lluvia, y vinieron ríos, y soplaron vientos y dieron con ímpetu contra aquella casa; y cayó, y fue grande su ruina.
Mateo 7:28	Y aconteció que cuando Jesús terminó estas palabras, la multitud se admiraba de su doctrina,
Mateo 7:29	porque les enseñaba como quien tiene autoridad, y no como los escribas.
Mateo 8:1	Y cuando Jesús descendió del monte, le seguía mucha gente.
Mateo 8:2	Y he aquí vino un leproso y le adoraba, diciendo: Señor, si quieres, puedes limpiarme.
Mateo 8:3	Y extendiendo Jesús su mano, le tocó, diciendo: Quiero; sé limpio. Y al instante su lepra fue limpiada.
Mateo 8:4	Entonces Jesús le dijo: Mira, no lo digas a nadie; sino ve, muéstrate al sacerdote y presenta la ofrenda que mandó Moisés, para testimonio a ellos.
Mateo 8:5	Y cuando entró Jesús en Capernaúm, vino a él un centurión, rogándole
Mateo 8:6	y diciendo: Señor, mi criado yace en casa, paralítico, gravemente atormentado.
Mateo 8:7	Y Jesús le dijo: Yo iré y le sanaré.
Mateo 8:8	Y respondió el centurión y dijo: Señor, no soy digno de que entres bajo mi techo; mas solamente di la palabra, y mi criado será sanado.
Mateo 8:9	Porque también yo soy hombre bajo autoridad y tengo soldados bajo mi mando; y digo a este: Ve, y va; y al otro: Ven, y viene; y a mi siervo: Haz esto, y lo hace.
Mateo 8:10	Y cuando Jesús lo oyó, se maravilló y dijo a los que le seguían: De cierto os digo que ni aun en Israel he hallado tanta fe.
Mateo 8:11	Y os digo que vendrán muchos del oriente y del occidente, y se sentarán con Abraham, e Isaac y Jacob en el reino de los cielos;
Mateo 8:12	mas los hijos del reino serán echados a las tinieblas de afuera; allí será el llanto y el crujir de dientes.
Mateo 8:13	Entonces Jesús dijo al centurión: Ve, y como creíste te sea hecho. Y su criado fue sanado en aquella misma hora.
Mateo 8:14	Y cuando fue Jesús a casa de Pedro, vio a la suegra de este postrada en cama con fiebre.
Mateo 8:15	Y le tocó la mano, y la fiebre la dejó; y ella se levantó y les servía.
Mateo 8:16	Y cuando era ya tarde, trajeron a él muchos endemoniados; y echó fuera los demonios con su palabra y sanó a todos los enfermos,
Mateo 8:17	para que se cumpliese lo que fue dicho por el profeta Isaías, que dijo: Él mismo tomó nuestras enfermedades y llevó nuestras dolencias.
Mateo 8:18	Y viendo Jesús mucha gente alrededor de sí, mandó pasar al otro lado.
Mateo 8:19	Y acercándose un escriba, le dijo: Maestro, te seguiré adondequiera que vayas.
Mateo 8:20	Y Jesús le dijo: Las zorras tienen guaridas, y las aves del cielo, nidos, pero el Hijo del Hombre no tiene dónde recostar la cabeza.
Mateo 8:21	Y otro de sus discípulos le dijo: Señor, permíteme que vaya primero y entierre a mi padre.
Mateo 8:22	Y Jesús le dijo: Sígueme; deja que los muertos entierren a sus muertos.
Mateo 8:23	Y entrando él en la barca, sus discípulos le siguieron.
Mateo 8:24	Y he aquí, se levantó en el mar una gran tempestad, de modo que las olas cubrían la barca; mas él dormía.
Mateo 8:25	Y acercándose sus discípulos, le despertaron, diciendo: ¡Señor, sálvanos, que perecemos!
Mateo 8:26	Y él les dijo: ¿Por qué teméis, hombres de poca fe? Entonces, levantándose, reprendió a los vientos y al mar, y hubo gran bonanza.
Mateo 8:27	Y los hombres se maravillaron, diciendo: ¿Qué hombre es este, que aun los vientos y el mar le obedecen?
Mateo 8:28	Y cuando él hubo llegado a la otra ribera, al país de los gergesenos, le vinieron al encuentro dos endemoniados que salían de los sepulcros, feroces en gran manera, de modo que nadie podía pasar por aquel camino.
Mateo 8:29	Y he aquí, clamaron, diciendo: ¿Qué tenemos que ver contigo, Jesús, Hijo de Dios? ¿Has venido acá para atormentarnos antes de tiempo?
Mateo 8:30	Y estaba paciendo lejos de ellos un hato de muchos cerdos.
Mateo 8:31	Y los demonios le rogaron, diciendo: Si nos echas fuera, permítenos ir a aquel hato de cerdos.
Mateo 8:32	Y les dijo: Id. Y ellos salieron y se fueron a aquel hato de cerdos; y he aquí, todo el hato de cerdos se precipitó al mar por un despeñadero, y murieron en las aguas.
Mateo 8:33	Y los que cuidaban los cerdos huyeron y, viniendo a la ciudad, contaron todas las cosas y lo que había pasado con los endemoniados.
Mateo 8:34	Y he aquí, toda la ciudad salió a encontrar a Jesús; y cuando le vieron, le rogaban que saliese de sus contornos.
Mateo 9:1	Entonces, entrando Jesús en la barca, pasó al otro lado y vino a su ciudad.
Mateo 9:2	Y he aquí le trajeron un paralítico tendido en una cama; y Jesús, viendo la fe de ellos, dijo al paralítico: Ten ánimo, hijo; tus pecados te son perdonados.
Mateo 9:3	Y he aquí, algunos de los escribas decían dentro de sí: Este blasfema.
