Genesis 1:1	Im Anfang schuf Gott den Himmel und die Erde;
Genesis 3:14	Da sagte Gott der Herr zu der Schlange: „Weil du das getan hast, sollst du verflucht sein vor allen Tieren, zahmen und wilden! Auf dem Bauche sollst du kriechen und Staub fressen dein Leben lang!
Genesis 3:15	Und ich will Feindschaft setzen zwischen dir und der Frau und zwischen deinem Samen und ihrem Samen: Er wird dir den Kopf zertreten, und du wirst ihn in die Ferse stechen.“
Genesis 3:16	Zur Frau aber sagte er: „Viel Mühsal will ich dir bereiten, wenn du Mutter wirst: Mit Schmerzen sollst du Kinder gebären und doch nach deinem Mann Verlangen tragen; er aber soll dein Herr sein!“
Genesis 3:17	Zu dem Mann aber sagte er: „Weil du der Aufforderung deiner Frau nachgekommen bist und von dem Baume gegessen hast, von dem zu essen ich dir ausdrücklich verboten hatte, so soll der Ackerboden verflucht sein um deinetwillen: Mit Mühsal sollst du dich von ihm nähren dein Leben lang!
Genesis 3:18	Dornen und Gestrüpp soll er dir wachsen lassen, und du sollst dich vom Gewächs des Feldes nähren!
Genesis 3:19	Im Schweiße deines Angesichts sollst du dein Brot essen, bis du zum Erdboden zurückkehrst, von dem du genommen bist; denn Staub bist du, und zu Staub musst du wieder werden!“
Genesis 3:20	Adam gab dann seiner Frau den Namen Eva; denn sie ist die Stammmutter aller Lebenden geworden.
Genesis 3:21	Darauf machte Gott der Herr dem Mann und seiner Frau Röcke von Fellen und bekleidete sie damit.
Genesis 3:22	Und Gott der Herr sagte: „Der Mensch ist jetzt ja geworden wie unsereiner, insofern er Gut und Böse zu unterscheiden weiß. Nun aber – dass er nur nicht seine Hand ausstreckt und auch Früchte vom Baume des Lebens nimmt und sie isst und unsterblich wird!“
Genesis 3:23	So stieß ihn denn Gott der Herr aus dem Garten von Eden hinaus, damit er den Erdboden bestelle, von dem er genommen war;
Genesis 3:24	und als er den Menschen hinausgetrieben hatte, ließ er östlich vom Garten von Eden die Kerubim sich lagern und die Flamme des kreisenden Schwertes, damit sie den Zugang zum Baume des Lebens bewachten.
Genesis 4:1	Adam erkannte Eva, seine Frau, und sie empfing und gebar dem Adam einen Sohn, Kain. Da sagte sie: „Einen Mann habe ich ins Dasein gerufen mit Hilfe des Herrn!“
Genesis 4:2	Hierauf gebar sie nochmals, nämlich seinen Bruder Abel; und Abel wurde ein Hirt von Kleinvieh, Kain aber ein Ackerbauer.
Genesis 4:3	Nun begab es sich nach Verlauf geraumer Zeit, dass Kain dem Herrn eine Opfergabe von den Früchten des Ackers darbrachte;
Genesis 4:4	und auch Abel opferte von den Erstgeburten seiner Herde, und zwar von ihren Fettstücken. Da schaute der Herr mit Wohlgefallen auf Abel und seine Opfergabe;
Genesis 4:5	aber Kain und seine Gabe sah er nicht an. Darüber geriet Kain in heftige Erregung, sodass sein Angesicht sich finster senkte.
Genesis 4:6	Da sagte der Herr zu Kain: „Warum bist du erzürnt, und warum hat dein Angesicht sich finster gesenkt?
Genesis 4:7	Wird nicht, wenn du recht handelst, dein Opfer angenommen? Lagert nicht, wenn du böse handelst, die Sünde vor der Tür als ein Feind, dessen Verlangen auf dich gerichtet ist, den du aber bezwingen sollst?“
Genesis 4:8	Hierauf sagte Kain zu seinem Bruder Abel: [„Lass uns aufs Feld gehen!“] Und als sie auf dem Felde waren, fiel Kain über seinen Bruder Abel her und schlug ihn tot.
Genesis 4:9	Da sagte der Herr zu Kain: „Wo ist dein Bruder Abel?“ Er antwortete: „Ich weiß es nicht; bin ich etwa meines Bruders Hüter?“
Genesis 4:10	Gott aber sagte: „Was hast du getan? Ich höre das Blut deines Bruders zu mir aus dem Erdboden schreien!
Genesis 4:11	Und nun – verflucht sollst du sein, hinweggetrieben vom Ackerboden, der seinen Mund aufgetan hat, um das von deiner Hand vergossene Blut deines Bruders in sich aufzunehmen!
Genesis 4:12	Wenn du den Acker bestellst, soll er dir hinfort keinen Ertrag mehr geben: Unstet und flüchtig sollst du auf der Erde sein!“
Genesis 4:13	Da sagte Kain zum Herrn: „Meine Strafe ist zu groß, als dass ich sie tragen könnte!
Genesis 4:14	Du treibst mich ja heute von dem Ackerland hinweg, und ich muss mich vor deinen Augen verbergen und werde unstet und flüchtig auf der Erde sein; so wird denn jeder, der mich antrifft, mich totschlagen!“
Genesis 4:15	Aber der Herr antwortete ihm: „Gewiss nicht! Jeder, der Kain totschlägt, soll siebenfältiger Rache verfallen!“ Hierauf brachte der Herr an Kain ein Zeichen an, damit ihn niemand erschlüge, der mit ihm zusammenträfe.
Genesis 4:16	So ging denn Kain vom Angesicht des Herrn hinweg und ließ sich im Lande Nod östlich von Eden nieder.
Genesis 4:17	Kain erkannte seine Frau und sie empfing und gebar hierauf dem Kain einen Sohn, Henoch; und als Kain dann eine Stadt erbaute, benannte er sie nach seines Sohnes Namen Henoch.
Genesis 4:18	Dem Henoch wurde dann Irad geboren; dieser wurde der Vater Mehujaëls, Mehujaël wurde der Vater Metuschaëls und Metuschaël der Vater Lamechs.
Genesis 4:19	Lamech aber nahm sich zwei Frauen, von denen die eine Ada, die andere Zilla hieß.
Genesis 4:20	Ada gebar dann den Jabal; dieser wurde der Stammvater der Zeltbewohner und Herdenbesitzer.
Genesis 4:21	Sein Bruder hieß Jubal; dieser wurde der Stammvater aller Zither- und Flötenspieler.
Genesis 4:22	Auch Zilla gebar einen Sohn, nämlich Tubal-Kajin, den Hämmerer von allen schneidenden Geräten aus Kupfer und Eisen. Die Schwester Tubal-Kajins war Naama.
Genesis 4:23	Lamech aber sagte einst zu seinen Frauen: „Ada und Zilla, hört meine Rede! Ihr Frauen Lamechs, vernehmet meinen Spruch! Einen Mann erschlage ich, wenn er mich verwundet, und einen Jüngling, wenn er mir eine Strieme beibringt!
Genesis 4:24	Denn wenn Kain siebenfältig gerächt werden soll, so Lamech siebenundsiebzigfach!“
Genesis 4:25	Adam erkannte nochmals seine Frau und sie gebar einen Sohn, dem sie den Namen Set gab; „denn“, sagte sie, „Gott hat mir einen anderen Spross verliehen an Stelle Abels, weil Kain ihn erschlagen hat.“
Genesis 4:26	Auch dem Set wurde ein Sohn geboren, den er Enosch nannte. Damals fing man an, den Namen des Herrn anzurufen.
Genesis 5:1	Dies ist das Verzeichnis der Nachkommen Adams: Am Tage, als Gott den Adam schuf, gestaltete er ihn nach Gottes Ebenbild;
Genesis 5:2	als Mann und Frau schuf er sie und segnete sie und gab ihnen den Namen „Mensch“ damals, als sie geschaffen wurden.
Genesis 5:3	Adam aber war 130 Jahre alt, als ihm ein Sohn geboren wurde, der ihm als sein Abbild glich und den er Set nannte.
Genesis 5:4	Nach der Geburt Sets lebte Adam noch 800 Jahre und hatte Söhne und Töchter.
Genesis 5:5	Demnach betrug die ganze Lebenszeit Adams 930 Jahre; dann starb er.
Genesis 5:6	Als Set 105 Jahre alt war, wurde ihm Enosch geboren.
Genesis 5:7	Nach der Geburt des Enosch lebte Set noch 807 Jahre und hatte Söhne und Töchter.
Genesis 5:8	Demnach betrug die ganze Lebenszeit Sets 912 Jahre; dann starb er.
Genesis 5:9	Als Enosch 90 Jahre alt war, wurde ihm Kenan geboren.
Genesis 5:10	Nach der Geburt Kenans lebte Enosch noch 815 Jahre und hatte Söhne und Töchter.
Genesis 5:11	Demnach betrug die ganze Lebenszeit des Enosch 905 Jahre; dann starb er.
Genesis 5:12	Als Kenan 70 Jahre alt war, wurde ihm Mahalalel geboren.
Genesis 5:13	Nach der Geburt Mahalalels lebte Kenan noch 840 Jahre und hatte Söhne und Töchter.
Genesis 5:14	Demnach betrug die ganze Lebenszeit Kenans 910 Jahre; dann starb er.
Genesis 5:15	Als Mahalalel 65 Jahre alt war, wurde ihm Jered geboren.
Genesis 5:16	Nach der Geburt Jereds lebte Mahalalel noch 830 Jahre und hatte Söhne und Töchter.
Genesis 5:17	Demnach betrug die ganze Lebenszeit Mahalalels 895 Jahre; dann starb er.
Genesis 5:18	Als Jered 162 Jahre alt war, wurde ihm Henoch geboren.
Genesis 5:19	Nach der Geburt Henochs lebte Jered noch 800 Jahre und hatte Söhne und Töchter.
Genesis 5:20	Demnach betrug die ganze Lebenszeit Jereds 962 Jahre; dann starb er.
Genesis 5:21	Als Henoch 65 Jahre alt war, wurde ihm Metuschelach geboren.
Genesis 5:22	Henoch wandelte mit Gott; er lebte nach der Geburt Metuschelachs noch 300 Jahre und hatte Söhne und Töchter.
Genesis 5:23	Demnach betrug die ganze Lebenszeit Henochs 365 Jahre.
Genesis 5:24	Henoch wandelte mit Gott und war plötzlich nicht mehr da, denn Gott hatte ihn hinweggenommen.
Genesis 5:25	Als Metuschelach 187 Jahre alt war, wurde ihm Lamech geboren.
Genesis 5:26	Nach der Geburt Lamechs lebte Metuschelach noch 782 Jahre und hatte Söhne und Töchter.
Genesis 5:27	Demnach betrug die ganze Lebenszeit Metuschelachs 969 Jahre; dann starb er.
Genesis 5:28	Als Lamech 182 Jahre alt war, wurde ihm ein Sohn geboren,
Genesis 5:29	den er Noach nannte; „denn“, sagte er, „dieser wird uns Trost verschaffen bei unserer Arbeit und bei der Mühsal, die unsere Hände durch den Acker haben, den der Herr verflucht hat“.
Genesis 5:30	Nach der Geburt Noachs lebte Lamech noch 595 Jahre und hatte Söhne und Töchter.
Genesis 5:31	Demnach betrug die ganze Lebenszeit Lamechs 777 Jahre; dann starb er.
Genesis 5:32	Als Noach 500 Jahre alt war, wurden ihm seine Söhne Sem, Ham und Jafet geboren.
Genesis 6:1	Als nun die Menschen sich auf der Oberfläche des Erdbodens zu vermehren begannen und ihnen auch Töchter geboren wurden
Genesis 6:2	und die Gottessöhne die Schönheit der Menschentöchter sahen, nahmen sie sich von ihnen diejenigen zu Frauen, die ihnen besonders gefielen.
Genesis 6:3	Da sagte der Herr: „Mein Geist soll nicht für immer im Menschen erniedrigt sein, weil er ja Fleisch ist; so sollen denn seine Tage fortan nur noch hundertundzwanzig Jahre betragen!“
Genesis 6:4	Zu jener Zeit waren die Riesen auf der Erde und auch später noch, solange die Gottessöhne mit den Menschentöchtern verkehrten und diese ihnen Kinder gebaren. Das sind die Helden, die in der Urzeit lebten, die hochberühmten Männer.
Genesis 6:5	Als nun der Herr sah, dass die Bosheit der Menschen groß war auf der Erde und alles Sinnen und Trachten ihres Herzens immerfort nur böse war,
Genesis 6:6	da reute es ihn, die Menschen auf der Erde geschaffen zu haben, und er wurde in seinem Herzen tief betrübt.
Genesis 6:7	Darum sagte der Herr: „Ich will die Menschen, die ich geschaffen habe, vom ganzen Erdboden weg vertilgen, die Menschen wie das Vieh, das Gewürm wie die Vögel des Himmels; denn ich bereue es, sie geschaffen zu haben.“
Genesis 6:8	Noach aber hatte Gnade beim Herrn gefunden.
Genesis 6:9	Dies ist die Geschichte Noachs: Noach war ein frommer, unsträflicher Mann unter seinen Zeitgenossen: Mit Gott wandelte Noach.
Genesis 6:10	Er hatte drei Söhne: Sem, Ham und Jafet.
Genesis 6:11	Die Erde wurde aber immer verderbter vor Gott und war voll von Gewalttaten.
Genesis 6:12	Als nun Gott die Erde ansah und die völlige Verderbtheit wahrnahm – denn alles Fleisch hatte sich in seinem ganzen Tun auf Erden zum Bösen gewandt –,
Genesis 6:13	da sagte Gott zu Noach: „Das Ende aller lebenden Geschöpfe ist bei mir beschlossen; denn die Erde ist durch ihre Schuld voll von Gewalttaten; darum will ich sie mitsamt der Erde verderben.
Genesis 6:14	Baue dir eine Arche aus Tannenholz; mit lauter Zellen sollst du die Arche versehen und sie von innen und von außen mit Erdharz verpichen.
Genesis 6:15	Und so sollst du sie bauen: Dreihundert Ellen soll die Länge der Arche betragen, fünfzig Ellen ihre Breite und dreißig Ellen ihre Höhe.
Genesis 6:16	Eine Lichtöffnung sollst du an der Arche anbringen, und zwar eine Elle hoch sollst du sie ganz herum hoch oben herstellen, und den Eingang zur Arche an ihrer Seite anbringen und ein unteres, ein mittleres und ein oberes Stockwerk in ihr anlegen.
Genesis 6:17	Denn wisse wohl: Ich will die große Flut über die Erde kommen lassen, um alle Geschöpfe, die Lebensodem in sich haben, unter dem ganzen Himmel zu vertilgen: Alles, was auf der Erde lebt, soll umkommen!
Genesis 6:18	Mit dir aber will ich einen Bund schließen: Du sollst in die Arche gehen, du und mit dir deine Söhne und deine Frau und die Frauen deiner Söhne.
Genesis 6:19	Und von allen lebenden Wesen, von allen Tieren, sollst du je ein Paar in die Arche mit hineinnehmen, um sie mit dir am Leben zu erhalten; je ein männliches und ein weibliches sollen es sein.
Genesis 6:20	Von jeder Art der Vögel und von jeder Art der Vierfüßler, von jeder Art der Kriechtiere des Erdbodens – von diesen allen soll immer ein Paar zu dir in die Arche hineinkommen, damit sie am Leben erhalten bleiben.
Genesis 6:21	Du selbst aber nimm dir alle Arten von Nahrungsmitteln, die als Speise genossen werden, und sammle bei dir Vorräte davon, damit sie dir und ihnen zur Nahrung dienen.“
Genesis 6:22	Und Noach tat es; er machte alles genau so, wie Gott es ihm geboten hatte.
Genesis 7:1	Dann sagte der Herr zu Noach: „Gehe du mit deiner ganzen Familie in die Arche, denn dich habe ich als gerecht vor mir befunden unter diesem Generation.
Genesis 7:2	Von allen reinen Tieren nimm je sieben Paare zu dir, immer ein Männchen und sein Weibchen, aber von den unreinen Tieren nur je zwei Stück, ein Männchen und sein Weibchen;
Genesis 7:3	auch von den Vögeln des Himmels je sieben Paare, Männchen und Weibchen, damit Nachkommenschaft auf der ganzen Erde am Leben erhalten bleibt;
Genesis 7:4	denn es sind nur noch sieben Tage, dann will ich es vierzig Tage und vierzig Nächte hindurch auf die Erde regnen lassen und will den ganzen Bestand an Lebewesen, die ich geschaffen habe, vom ganzen Erdboden vertilgen.“
Genesis 7:5	Da tat Noach alles genau so, wie der Herr es ihm geboten hatte.
Genesis 7:6	Noach war aber sechshundert Jahre alt, als die Sintflut über die Erde kam.
Genesis 7:7	Da gingen Noach und mit ihm seine Söhne, seine Frau und seine Schwiegertöchter in die Arche hinein vor den Gewässern der Sintflut.
Genesis 7:8	Von den reinen und von den unreinen Vierfüßlern sowie von den Vögeln und von allem, was auf dem Erdboden kriecht,
Genesis 7:9	kamen immer zwei, ein Männchen und ein Weibchen, zu Noach in die Arche hinein, wie Gott ihm geboten hatte.
Genesis 7:10	Und nach Ablauf der sieben Tage, da kamen die Gewässer der Sintflut über die Erde.
Genesis 7:11	Es war im sechshundertsten Lebensjahre Noachs, am siebzehnten Tage des zweiten Monats: An diesem Tage brachen alle Quellen der großen Tiefe auf, und die Fenster des Himmels öffneten sich,
Genesis 7:12	und der Regen strömte vierzig Tage und vierzig Nächte hindurch auf die Erde.
Genesis 7:13	An ebendiesem Tage ging Noach mit seinen Söhnen Sem, Ham und Jafet und mit seiner Frau und seinen drei Schwiegertöchtern in die Arche hinein,
Genesis 7:14	sie und alle Arten der wilden Tiere und alle Arten des Viehs und alle Arten des Gewürms, das auf der Erde kriecht, auch alle Arten der Vögel, alles, was Flügel hatte und beschwingt war;
Genesis 7:15	die kamen zu Noach in die Arche hinein, je ein Paar von allen Geschöpfen, die Lebensodem in sich hatten;
Genesis 7:16	und die da hineinkamen, waren immer ein Männchen und ein Weibchen von allem Fleisch, wie Gott ihm geboten hatte. Hierauf schloss der Herr hinter ihm zu.
Genesis 7:17	Da kam die Sintflut vierzig Tage lang über die Erde, und das Wasser stieg und hob die Arche empor, sodass sie hoch über der Erde schwamm.
Genesis 7:18	Und das Wasser nahm gewaltig zu und stieg hoch über der Erde, sodass die Arche auf der weiten Flut dahinfuhr.
Genesis 7:19	Und das Wasser stieg immer noch höher über der Erde, sodass alle höchsten Berge, die unter dem ganzen Himmel sind, überflutet wurden.
Genesis 7:20	Fünfzehn Ellen hoch ging das Wasser über sie hin, sodass die Berge überflutet wurden.
Genesis 7:21	Damals kamen alle Geschöpfe um, die auf der Erde sich regten: was an Vögeln, an Vieh und an wilden Tieren da war, sowie alles Gewürm, von dem die Erde wimmelte, und auch alle Menschen:
Genesis 7:22	Alles, in dessen Nase ein Hauch von Lebensodem war, das starb, alles, soweit es auf dem Trockenen lebte.
Genesis 7:23	So vertilgte Gott alle Geschöpfe, die auf dem ganzen Erdboden waren, vom Menschen bis zum Vieh, bis zum Gewürm und bis zu den Vögeln des Himmels: Sie wurden alle von der Erde vertilgt; nur Noach blieb übrig und was sich bei ihm in der Arche befand.
Genesis 7:24	Das Wasser aber stieg unaufhörlich über der Erde hundertundfünfzig Tage lang.
Genesis 8:1	Da dachte Gott an Noach und an alle wilden Tiere und an all das Vieh, das bei ihm in der Arche war; und Gott ließ einen Wind über die Erde wehen, sodass die Wasser sanken;
Genesis 8:2	die Quellen der Tiefe und die Fenster des Himmels schlossen sich, und dem Regen vom Himmel her wurde Einhalt getan.
Genesis 8:3	Da verlief sich das Wasser allmählich von der Erde und begann nach Ablauf der hundertundfünfzig Tage zu fallen;
Genesis 8:4	und am siebzehnten Tage des siebten Monats saß die Arche auf einem der Berge von Ararat fest.
Genesis 8:5	Das Wasser nahm dann immerfort ab bis zum zehnten Monat; am ersten Tage des zehnten Monats kamen die Gipfel der Berge zum Vorschein.
Genesis 8:6	Nach Verlauf von vierzig Tagen aber öffnete Noach das Fenster der Arche, das er angebracht hatte,
Genesis 8:7	und ließ den Raben ausfliegen; der flog hin und her, bis das Wasser auf der Erde weggetrocknet war.
