Mosè 1:1	Parole di Dio, che egli disse a Mosè al tempo in cui Mosè fu rapito su una montagna altissima,
Mosè 1:40	Ed ora, Mosè, figlio mio, ti parlerò riguardo a questa terra sulla quale stai; e tu scrivi le cose che ti dirò.
Mosè 1:41	E nel giorno in cui i figlioli degli uomini stimeranno le mie parole come nulla, e ne toglieranno molte dal libro che tu scriverai, ecco, Io ne susciterò un altro simile a te, ed esse saranno di nuovo fra i figlioli degli uomini, fra tutti coloro che crederanno.
Mosè 1:42	(Queste parole furono dette a Mosè sul monte, il cui nome non sarà conosciuto fra i figlioli degli uomini. Ed ora sono dette a te. Non le mostrare a nessuno, eccetto a coloro che credono. Così sia. Amen).
Mosè 2:1	E avvenne che il Signore parlò a Mosè, dicendo: Ecco, Io ti rivelo ciò che riguarda questo cielo e questa terra; scrivi le parole che dico. Io sono il Principio e la Fine, il Dio Onnipotente; mediante il mio Unigenito ho creato queste cose; sì, nel principio creai il cielo, e la terra sulla quale tu stai.
Mosè 2:2	E la terra era senza forma e vuota; e feci salire le tenebre sulla faccia dell’abisso; e il mio Spirito si muoveva sulla faccia delle acque; poiché io sono Dio.
Mosè 2:3	E io, Dio, dissi: Vi sia luce; e vi fu luce.
Mosè 2:4	E io, Dio, vidi la luce, e che la luce era buona. E io, Dio, divisi la luce dalle tenebre.
Mosè 2:5	E io, Dio, chiamai la luce Giorno; e le tenebre le chiamai Notte; e feci questo mediante la parola del mio potere, e fu fatto come io dissi; e la sera e il mattino furono il primo giorno.
Mosè 2:6	E ancora, io, Dio, dissi ancora: Vi sia un firmamento in mezzo all’acqua, e così fu, proprio come dissi; e io dissi: Che esso divida le acque dalle acque; e ciò fu fatto;
Mosè 2:7	E io, Dio, feci il firmamento e divisi le acque, sì, le grandi acque sotto il firmamento dalle acque che erano sopra il firmamento; e fu così, proprio come dissi.
Mosè 2:8	E io, Dio, chiamai il firmamento Cielo; e la sera ed il mattino furono il secondo giorno.
Mosè 2:9	E io, Dio, dissi: Si raccolgano le acque sotto il cielo in un sol luogo, e così fu; e io, Dio, dissi: Vi sia terra asciutta; e così fu.
Mosè 2:10	E io, Dio, chiamai la terra asciutta Terra; e la raccolta delle acque la chiamai Mare; e io, Dio, vidi che tutte le cose che avevo fatto erano buone.
Mosè 2:11	E io, Dio, dissi: Produca la terra erba, le piante che danno seme, gli alberi da frutto che danno frutti secondo la loro specie, e gli alberi diano frutti il cui seme sia in essi sulla terra; e fu così, proprio come dissi.
Mosè 2:12	E la terra produsse erba, ogni pianta che dà seme secondo la sua specie, e ogni albero che dà frutto, il cui seme è in esso, secondo la sua specie; e io, Dio, vidi che tutte le cose che avevo fatto erano buone;
Mosè 2:13	E la sera e il mattino furono il terzo giorno.
Mosè 2:14	E io, Dio, dissi: Vi siano dei luminari nel firmamento del cielo per dividere il giorno dalla notte, e siano per segni, e per stagioni, e per giorni e per anni;
Mosè 2:15	E siano come luminari nel firmamento del cielo per dare luce sopra la terra; e così fu.
Mosè 2:16	E io, Dio, feci due grandi luminari; il luminare maggiore per governare il giorno e il luminare minore per governare la notte, e il luminare maggiore fu il sole e il luminare minore fu la luna; e furono fatte anche le stelle, proprio secondo la mia parola.
Mosè 2:17	E io, Dio, le posi nel firmamento del cielo, per dar luce sopra la terra,
Mosè 2:18	E il sole per governare il giorno, e la luna per governare la notte, e per dividere la luce dalle tenebre; e io, Dio, vidi che tutte le cose che avevo fatto erano buone;
Mosè 2:19	E la sera e il mattino furono il quarto giorno.
Mosè 2:20	E io, Dio, dissi: Producano le acque in abbondanza le creature che si muovono e hanno vita, e uccelli che volino sopra la terra, nell’ampio firmamento del cielo.
Mosè 2:21	E io, Dio, creai grandi balene, e ogni creatura vivente che si muove, che le acque produssero in abbondanza, secondo la loro specie, e ogni uccello alato secondo la sua specie; e io, Dio, vidi che tutte le cose che avevo creato erano buone.
Mosè 2:22	E io, Dio, le benedissi, dicendo: Siate feconde e moltiplicatevi e riempite le acque nel mare; e si moltiplichino gli uccelli sulla terra;
Mosè 2:23	E la sera e il mattino furono il quinto giorno.
Mosè 2:24	E io, Dio, dissi: Produca la terra creature viventi secondo la loro specie: bestiame e cose che strisciano, e bestie della terra, secondo la loro specie; e così fu;
Mosè 2:25	E io, Dio, feci le bestie della terra secondo la loro specie, e il bestiame secondo la loro specie, e ogni cosa che striscia sulla terra secondo la sua specie; e io, Dio, vidi che tutte queste cose erano buone.
Mosè 2:26	E io, Dio, dissi al mio Unigenito, che era con me fin dal principio: Facciamo l’uomo a nostra immagine, secondo la nostra somiglianza; e così fu. E io, Dio, dissi: Abbiano dominio sui pesci del mare e sugli uccelli dell’aria, sul bestiame e su tutta la terra, e su ogni cosa strisciante che striscia sulla terra.
Mosè 2:27	E io, Dio, creai l’uomo a mia propria immagine, a immagine del mio Unigenito lo creai; maschio e femmina li creai.
Mosè 2:28	E io, Dio, li benedissi e dissi loro: Siate fecondi e moltiplicatevi e riempite la terra, e assoggettatela, e abbiate dominio sui pesci del mare e sugli uccelli dell’aria, e su ogni cosa vivente che si muove sulla terra.
Mosè 2:29	E io, Dio, dissi all’uomo: Ecco, ti ho dato ogni pianta che porta seme, che è sulla faccia di tutta la terra, e ogni albero nel quale ci sia frutto di un albero che porta seme; ciò vi sarà di nutrimento.
Mosè 2:30	E ad ogni bestia della terra, e ad ogni uccello dell’aria, e ad ogni cosa che striscia sulla terra, a cui concedo la vita, sarà data ogni pianta pura per nutrimento; e così fu, proprio come dissi.
Mosè 2:31	E io, Dio, vidi tutto ciò che avevo fatto, ed ecco, tutte le cose che avevo fatto erano molto buone; e la sera e il mattino furono il sesto giorno.
Mosè 3:1	Così furono compiuti il cielo e la terra, e tutte le loro schiere.
Mosè 3:2	E il settimo giorno, io, Dio, terminai la mia opera e tutte le cose che avevo fatto; e mi riposai nel settimo giorno da tutta la mia opera, e tutte le cose che avevo fatto erano compiute, e io, Dio, vidi che erano buone;
Mosè 3:3	E io, Dio, benedissi il settimo giorno e lo santificai; per il fatto che in esso mi ero riposato da tutta la mia opera, che io, Dio, avevo creato e fatto.
Mosè 3:4	Ed ora, ecco, Io ti dico che questo è l’evolversi del cielo e della terra, quando furono creati, nel giorno in cui io, il Signore Iddio, feci il cielo e la terra,
Mosè 3:5	E ogni pianta dei campi prima che fosse sulla terra, e ogni erba dei campi prima che crescesse. Poiché Io, il Signore Iddio, creai tutte le cose, di cui ho parlato, spiritualmente, prima che fossero naturalmente sulla faccia della terra. Poiché io, il Signore Iddio, non avevo fatto piovere sulla faccia della terra. E io, il Signore Iddio, avevo creato tutti i figlioli degli uomini; e non ancora un uomo per coltivare la terra, poiché li avevo creati in cielo; e non v’era ancora carne sulla terra, né nell’acqua, né nell’aria;
Mosè 3:6	Ma io, il Signore Iddio, parlai, e salì una bruma dalla terra, e adacquò tutta la faccia della terra.
Mosè 3:7	E io, il Signore Iddio, formai l’uomo dalla polvere della terra, e soffiai nelle sue narici l’alito di vita; e l’uomo divenne un’anima vivente, la prima carne sulla terra, e anche il primo uomo; Nondimeno, tutte le cose furono create prima, ma furono create e fatte spiritualmente, secondo la mia parola.
Mosè 3:8	E io, il Signore Iddio, piantai un giardino a oriente, in Eden, e là posi l’uomo che avevo formato.
Mosè 3:9	E dal suolo, io, il Signore Iddio, feci crescere ogni albero, naturalmente, che è piacevole alla vista dell’uomo; e l’uomo poté vederlo. E anch’essi divennero anime viventi. Poiché erano spirituali nel giorno in cui li creai; poiché rimangono nella sfera in cui io, Dio, li creai; sì, tutte le cose che ho preparato per l’uso dell’uomo; e l’uomo vide che erano buoni come cibo. E io, il Signore Iddio, piantai anche l’albero della vita, in mezzo al giardino, e anche l’albero della conoscenza del bene e del male.
Mosè 3:10	E io, il Signore Iddio, feci sì che un fiume uscisse da Eden, per adacquare il giardino; e di là si spartì e formò quattro bracci.
Mosè 3:11	E io, il Signore Iddio, chiamai il primo con il nome Pison, ed esso circonda tutta la terra di Havila, dove io, il Signore Iddio, creai molto oro;
Mosè 3:12	E l’oro di quel paese era buono, e c’era del bedillio e della pietra d’onice.
Mosè 3:13	E il secondo fiume fu chiamato con il nome Ghihon; lo stesso che circonda tutta la terra d’Etiopia.
Mosè 3:14	E il nome del terzo fiume era Hiddekel; quello che va verso l’est dell’Assiria. E il quarto fiume era l’Eufrate.
Mosè 3:15	E io, il Signore Iddio, presi l’uomo e lo posi nel Giardino di Eden per averne cura, e per custodirlo.
Mosè 3:16	E io, il Signore Iddio, comandai all’uomo, dicendo: Di ogni albero del giardino puoi mangiare liberamente,
Mosè 3:17	Ma dell’albero della conoscenza del bene e del male non ne mangiare, nondimeno puoi scegliere da te stesso, poiché ciò ti è concesso; ma ricorda che io lo proibisco, poiché nel giorno in cui ne mangerai, per certo morirai.
Mosè 3:18	E io, il Signore Iddio, dissi al mio Unigenito che non era bene che l’uomo fosse solo; pertanto gli farò un aiuto adatto a lui.
Mosè 3:19	E dalla terra io, il Signore Iddio, formai ogni bestia dei campi, e ogni uccello dell’aria; e comandai che venissero da Adamo, per vedere come li avrebbe chiamati: ed erano anch’essi anime viventi, poiché io, Dio, avevo soffiato in essi l’alito di vita; e comandai che in qualunque modo Adamo avesse chiamato ogni creatura vivente, quello fosse il suo nome.
Mosè 3:20	E Adamo diede un nome ad ogni animale, e agli uccelli dell’aria, e ad ogni bestia dei campi; ma quanto ad Adamo, non fu trovato un aiuto adatto a lui.
Mosè 3:21	E io, il Signore Iddio, feci cadere un sonno profondo su Adamo; ed egli si addormentò, e io presi una delle sue costole e chiusi la carne al posto di essa;
Mosè 3:22	E dalla costola che io, il Signore Iddio, avevo preso dall’uomo feci una donna e la portai all’uomo.
Mosè 3:23	E Adamo disse: Questa io so ora che è ossa delle mie ossa e carne della mia carne; ella sarà chiamata Donna, perché fu presa dall’uomo.
Mosè 3:24	Perciò l’uomo lascerà suo padre e sua madre e si unirà a sua moglie, ed essi saranno una sola carne.
Mosè 3:25	Ed essi erano entrambi nudi, l’uomo e sua moglie, e non se ne vergognavano.
Mosè 4:1	E io, il Signore Iddio, parlai a Mosè, dicendo: Quel Satana al quale hai comandato nel nome del mio Unigenito, è lo stesso che fu fin dal principio ed egli venne dinanzi a me, dicendo: Eccomi, manda me, io sarò tuo figlio, e redimerò tutta l’umanità, affinché non sia perduta una sola anima, e sicuramente lo farò; dammi dunque il tuo onore.
Mosè 4:2	Ma ecco, il mio Figlio Diletto, che era il mio Diletto e Scelto fin dal principio, mi disse: Padre, sia fatta la tua volontà, e sia tua la gloria per sempre.
Mosè 4:3	Pertanto, per il fatto che Satana si ribellò contro di me e cercò di distruggere l’arbitrio dell’uomo, che io, il Signore Iddio, gli avevo dato, e anche che gli dessi il mio potere, mediante il potere del mio Unigenito, feci sì che fosse gettato giù;
Mosè 4:4	E divenne Satana, sì, proprio il diavolo, il padre di tutte le menzogne, per ingannare e accecare gli uomini, per condurli prigionieri alla sua volontà, tutti coloro che non avrebbero voluto dare ascolto alla mia voce.
Mosè 4:5	Ed ora, il serpente era più astuto di ogni bestia dei campi che io, il Signore Iddio, avevo fatto.
Mosè 4:6	E Satana lo mise in cuore al serpente (poiché ne aveva attirati molti al suo seguito), e cercò anche di ingannare Eva, poiché non conosceva il disegno di Dio; pertanto cercò di distruggere il mondo.
Mosè 4:7	E disse alla donna: Non ha Dio detto: Non mangiate di ogni albero del giardino? (E parlava per bocca del serpente).
Mosè 4:8	E la donna disse al serpente: Noi possiamo mangiare del frutto degli alberi del giardino,
Mosè 4:9	Ma del frutto dell’albero che vedi in mezzo al giardino, Dio ha detto: Non mangiate, e non lo toccate, per timore di morire.
Mosè 4:10	E il serpente disse alla donna: Per certo non morirete.
Mosè 4:11	Poiché Dio sa che nel giorno in cui ne mangerete, allora i vostri occhi saranno aperti e voi sarete come Dei, conoscendo il bene ed il male.
Mosè 4:12	E quando la donna vide che l’albero era buono come cibo, e che era divenuto piacevole agli occhi, e un albero desiderabile per renderla saggia, ne prese un frutto e mangiò, e ne diede anche a suo marito con lei, ed egli mangiò.
Mosè 4:13	E gli occhi di entrambi furono aperti, e seppero di essere stati nudi. E cucirono insieme delle foglie di fico e si fecero dei grembiuli.
Mosè 4:14	E udirono la voce del Signore Iddio, mentre camminavano nel giardino, nel fresco del giorno; e Adamo e sua moglie andarono a nascondersi dalla presenza del Signore Iddio, tra gli alberi del giardino.
Mosè 4:15	E io, il Signore Iddio, chiamai Adamo e gli dissi: Dove vai?
Mosè 4:16	Ed egli rispose: Ho udito la tua voce nel giardino e ho avuto paura, perché ho visto che ero nudo, e mi sono nascosto.
Mosè 4:17	E io, il Signore Iddio, dissi ad Adamo: Chi ti ha detto che eri nudo? Hai mangiato dell’albero di cui ti comandai di non mangiare, se no per certo saresti morto?
Mosè 4:18	E l’uomo disse: La donna che tu mi hai dato, e che comandasti che restasse con me, mi ha dato del frutto dell’albero, e io ho mangiato.
Mosè 4:19	E io, il Signore Iddio, dissi alla donna: Cosa è questa cosa che hai fatto? E la donna disse: Il serpente mi ha ingannato, e io ho mangiato.
Mosè 4:20	E io, il Signore Iddio, dissi al serpente: Poiché hai fatto questo, sarai maledetto più di tutti gli animali e più di ogni bestia dei campi; andrai sul tuo ventre e mangerai polvere tutti i giorni della tua vita;
Mosè 4:21	E io porrò inimicizia fra te e la donna, fra la tua posterità e la posterità di lei; ed egli ti ferirà la testa e tu gli ferirai il calcagno.
Mosè 4:22	Alla donna io, il Signore Iddio, dissi: Moltiplicherò grandemente il tuo dolore e le tue gravidanze. Partorirai nel dolore, e il tuo desiderio sarà verso tuo marito, ed egli governerà su di te.
Mosè 4:23	E ad Adamo io, il Signore Iddio, dissi: Poiché hai dato ascolto alla voce di tua moglie, e hai mangiato del frutto dell’albero riguardo al quale ti avevo comandato, dicendo: Non ne mangiare, maledetto sarà il suolo per causa tua; con dolore ne mangerai il frutto tutti i giorni della tua vita.
Mosè 4:24	Anche spine e cardi esso ti produrrà, e tu mangerai l’erba dei campi.
Mosè 4:25	Col sudore del tuo volto mangerai il pane, finché non tornerai alla terra, poiché per certo morirai, poiché da essa fosti preso: poiché eri polvere, e alla polvere ritornerai.
Mosè 4:26	E Adamo chiamò sua moglie con il nome Eva, poiché ella era la madre di tutti i viventi; poiché così io, il Signore Iddio, chiamai la prima di tutte le donne, che sono molte.
Mosè 4:27	Ad Adamo, e anche a sua moglie, io, il Signore Iddio, feci delle tuniche di pelle, e li rivestii.
Mosè 4:28	E Io, il Signore Iddio, dissi al mio Unigenito: Ecco, l’uomo è diventato come uno di noi per conoscere il bene e il male; ed ora, per timore che stenda la mano e prenda anche dell’albero della vita, e mangi e viva in eterno,
Mosè 4:29	Io dunque, il Signore Iddio, lo manderò fuori dal Giardino di Eden, per coltivare il suolo dal quale fu tratto;
Mosè 4:30	Poiché come io, il Signore Iddio, vivo, così le mie parole non possono andare a vuoto; poiché, come escono dalla mia bocca, devono adempiersi.
Mosè 4:31	Così scacciai l’uomo, e posi a oriente del Giardino di Eden dei cherubini e una spada fiammeggiante, che girava da ogni parte, per custodire la via dell’albero della vita.
Mosè 4:32	(E queste sono le parole che dissi al mio servitore Mosè, ed esse sono vere, sì, come io voglio; e te le ho dette. Guarda di non mostrarle a nessuno, finché non te lo comandi, eccetto a coloro che credono. Amen).
Mosè 5:1	E avvenne che dopo che io, il Signore Iddio, li ebbi scacciati, Adamo cominciò a coltivare la terra e ad avere dominio su tutte le bestie dei campi, e a mangiare il pane con il sudore della sua fronte, come io, il Signore, gli avevo comandato. E anche Eva, sua moglie, lavorava con lui.
Mosè 5:2	E Adamo conobbe sua moglie, ed ella gli partorì figli e figlie, e cominciarono a moltiplicarsi e a riempire la terra.
Mosè 5:3	E da quel tempo in avanti i figli e le figlie di Adamo cominciarono a dividersi a due a due nel paese, a coltivare la terra, e a badare alle greggi; e anch’essi generarono figli e figlie.
Mosè 5:4	E Adamo ed Eva, sua moglie, invocarono il nome del Signore, e udirono la voce del Signore che parlava loro dalla direzione verso il Giardino di Eden; ma non Lo videro, poiché erano esclusi dalla sua presenza.
Mosè 5:5	Ed Egli diede loro dei comandamenti: che adorassero il Signore loro Dio, e offrissero i primogeniti dei loro greggi come offerta al Signore. E Adamo fu obbediente ai comandamenti del Signore.
Mosè 5:6	E dopo molti giorni, un angelo del Signore apparve ad Adamo, dicendo: Perché offri dei sacrifici al Signore? E Adamo gli disse: Non so, salvo che il Signore me lo ha comandato.
Mosè 5:7	E allora l’angelo parlò, dicendo: Ciò è a similitudine del sacrificio dell’Unigenito del Padre, che è pieno di grazia e di verità.
Mosè 5:8	Fai dunque tutto ciò che fai nel nome del Figlio, e pentiti, e invoca Dio nel nome del Figlio, da ora e per sempre.
Mosè 5:9	E in quel giorno scese su Adamo lo Spirito Santo, che porta testimonianza del Padre e del Figlio, dicendo: Io sono l’Unigenito del Padre fin dal principio, d’ora innanzi e per sempre, affinché, poiché sei caduto, tu possa essere redento, e tutta l’umanità, sì, tutti coloro che vorranno.
Mosè 5:10	E in quel giorno Adamo benedisse Dio e fu riempito di Spirito, e cominciò a profetizzare riguardo a tutte le famiglie della terra, dicendo: Benedetto sia il nome di Dio, poiché a motivo della mia trasgressione i miei occhi sono aperti, e in questa vita avrò gioia, e di nuovo nella carne vedrò Dio.
Mosè 5:11	Ed Eva, sua moglie, udì tutte queste cose e fu contenta, e disse: Se non fosse stato per la nostra trasgressione, non avremmo mai avuto una posterità e non avremmo mai conosciuto il bene e il male, e la gioia della nostra redenzione, e la vita eterna che Dio dà a tutti gli obbedienti.
Mosè 5:12	E Adamo ed Eva benedissero il nome di Dio, e fecero conoscere ogni cosa ai loro figli e alle loro figlie.
Mosè 5:13	E Satana venne fra loro, dicendo: Sono anch’io un figlio di Dio; e comandò loro, dicendo: Non credete; ed essi non credettero, e amarono Satana più di Dio. E da quel tempo in avanti gli uomini cominciarono ad essere carnali, sensuali e diabolici.
Mosè 5:14	E il Signore Iddio chiamò gli uomini mediante lo Spirito Santo, ovunque, e comandò loro che dovevano pentirsi;
Mosè 5:15	E tutti coloro che avessero creduto nel Figlio e si fossero pentiti dei loro peccati sarebbero stati salvati; e tutti coloro che non avessero creduto e non si fossero pentiti sarebbero stati dannati; e le parole uscirono dalla bocca di Dio come un fermo decreto, pertanto devono adempiersi.
Mosè 5:16	E Adamo ed Eva, sua moglie, non cessarono di invocare Dio. E Adamo conobbe Eva, sua moglie, ed ella concepì e partorì Caino, e disse: Ho acquistato un uomo dal Signore, pertanto non potrà rigettare le sue parole. Ma ecco, Caino non dette ascolto, e disse: Chi è il Signore, che io debba conoscerlo?
Mosè 5:17	Ed ella concepì di nuovo e partorì suo fratello Abele. E Abele dette ascolto alla voce del Signore. E Abele era un custode di pecore, mentre Caino era un lavoratore della terra.
Mosè 5:18	E Caino amò Satana, più di Dio. E Satana gli comandò, dicendo: Fai un’offerta al Signore.
Mosè 5:19	E dopo qualche tempo avvenne che Caino portò dai frutti della terra un’offerta al Signore.
Mosè 5:20	E Abele portò anch’egli dei primogeniti dal suo gregge e del loro grasso. E il Signore ebbe riguardo per Abele e per la sua offerta;
Mosè 5:21	Ma non ebbe riguardo per Caino e per la sua offerta. Ora, Satana lo seppe e ne fu compiaciuto. E Caino si adirò molto, e il suo viso ne fu abbattuto.
Mosè 5:22	E il Signore disse a Caino: Perché sei adirato? Perché il tuo viso si è abbattuto?
Mosè 5:23	Se fai il bene, sarai accettato. E se non fai il bene, il peccato giace alla porta, e Satana desidera averti; e a meno che tu non dia ascolto ai miei comandamenti, io ti metterò nelle sue mani, e ti sarà fatto secondo il suo desiderio. E tu governerai su di lui;
Mosè 5:24	Poiché da questo momento in avanti tu sarai il padre delle sue menzogne; sarai chiamato Perdizione, poiché anche tu fosti prima del mondo.
Mosè 5:25	E si dirà nei tempi a venire che queste abominazioni si ebbero da Caino, poiché egli rigettò il maggior consiglio che aveva avuto da Dio; e questa è una maledizione che io porrò su di te, eccetto che tu ti penta.
Mosè 5:26	E Caino si adirò e non ascoltò più la voce del Signore, né Abele, suo fratello, che camminava in santità dinanzi al Signore.
Mosè 5:27	E Adamo e sua moglie si dolsero dinanzi al Signore a causa di Caino e dei suoi fratelli.
Mosè 5:28	E avvenne che Caino prese in moglie una delle figlie di suo fratello, e amarono Satana più di Dio.
Mosè 5:29	E Satana disse a Caino: Giurami, per la tua gola, e se lo dirai morirai; fai giurare i tuoi fratelli, sulla loro testa e sul Dio vivente, affinché non lo dicano; poiché se lo diranno di certo moriranno; e ciò affinché tuo padre non lo sappia; e in questo giorno io metterò tuo fratello Abele nelle tue mani.
Mosè 5:30	E Satana giurò a Caino che avrebbe fatto secondo i suoi comandi. E tutte queste cose furono fatte in segreto.
Mosè 5:31	E Caino disse: Davvero io sono Mahan, il padrone di questo gran segreto, di poter uccidere e ottenere guadagno. Pertanto Caino fu chiamato Mastro Mahan, ed esultò della sua iniquità.
