Genesi 1:1	Nel principio Dio creò i cieli e la terra.
Genesi 1:20	Poi Dio disse: “Producano le acque in abbondanza animali viventi, e volino degli uccelli sopra la terra per l’ampia distesa del cielo”.
Genesi 1:21	E Dio creò i grandi animali acquatici e tutti gli esseri viventi che si muovono, prodotti dalle acque in abbondanza secondo la loro specie, ed ogni volatile secondo la sua specie. E Dio vide che questo era buono.
Genesi 1:22	E Dio li benedisse, dicendo: “Siate fecondi, moltiplicatevi, e riempite le acque dei mari, e si moltiplichino gli uccelli sulla terra”.
Genesi 1:23	Così fu sera, poi fu mattina: e fu il quinto giorno.
Genesi 1:24	Poi Dio disse: “Produca la terra animali viventi secondo la loro specie: bestiame, rettili e animali selvatici della terra, secondo la loro specie”. E così fu.
Genesi 1:25	E Dio fece gli animali selvatici della terra, secondo le loro specie, il bestiame secondo le sue specie, e tutti i rettili della terra, secondo le loro specie. E Dio vide che questo era buono.
Genesi 1:26	Poi Dio disse: “Facciamo l’uomo a nostra immagine e a nostra somiglianza, ed abbiano dominio sui pesci del mare, e sugli uccelli del cielo, e sul bestiame, e su tutta la terra, e su tutti i rettili che strisciano sulla terra”.
Genesi 1:27	E Dio creò l’uomo a sua immagine; lo creò a immagine di Dio; li creò maschio e femmina.
Genesi 1:28	E Dio li benedisse; e Dio disse loro: “Siate fecondi e moltiplicatevi e riempite la terra, e rendetevela soggetta, e dominate sui pesci del mare e sugli uccelli del cielo e sopra ogni animale che si muove sulla terra”.
Genesi 1:29	E Dio disse: “Ecco, io vi do ogni erba che dà seme sulla superficie di tutta la terra, ed ogni albero fruttifero che dà seme; questo vi servirà di nutrimento.
Genesi 1:30	E ad ogni animale della terra e ad ogni uccello dei cieli e a tutto ciò che si muove sulla terra ed ha in sé un soffio di vita, io do ogni erba verde per nutrimento”. E così fu.
Genesi 1:31	E Dio vide tutto quello che aveva fatto, ed ecco, era molto buono. Così fu sera, poi fu mattina: e fu il sesto giorno.
Genesi 2:1	Così furono compiuti i cieli e la terra e tutto l’esercito loro.
Genesi 2:2	Il settimo giorno, Dio terminò l’opera che aveva fatto, e si riposò il settimo giorno da tutta l’opera che aveva fatto.
Genesi 2:3	E Dio benedisse il settimo giorno e lo santificò, perché in esso si riposò da tutta l’opera che aveva creato e fatto.
Genesi 2:4	Queste sono le origini dei cieli e della terra quando furono creati, nel giorno in cui l’Eterno Iddio fece la terra e i cieli.
Genesi 2:5	Non c’era ancora sulla terra alcun arbusto dei campi, e nessuna erba dei campi era ancora spuntata, perché l’Eterno Iddio non aveva fatto piovere sulla terra, e non c’era alcun uomo per coltivare il suolo;
Genesi 2:6	ma un vapore saliva dalla terra e adacquava tutta la superficie del suolo.
Genesi 2:7	E l’Eterno Iddio formò l’uomo dalla polvere della terra, gli soffiò nelle narici un alito di vita, e l’uomo divenne un’anima vivente.
Genesi 2:8	E l’Eterno Iddio piantò un giardino in Eden, a oriente, e vi pose l’uomo che aveva formato.
Genesi 2:9	E l’Eterno Iddio fece spuntare dal suolo ogni sorta di alberi piacevoli a vedersi e il cui frutto era buono da mangiare, e l’albero della vita in mezzo al giardino, e l’albero della conoscenza del bene e del male.
Genesi 2:10	E un fiume usciva da Eden per irrigare il giardino, e da là si divideva in quattro bracci.
Genesi 2:11	Il nome del primo è Pishon, ed è quello che circonda tutto il paese di Havila, dove c’è l’oro;
Genesi 2:12	e l’oro di quel paese è buono; là si trovano pure lo bdellio e l’onice.
Genesi 2:13	Il nome del secondo fiume è Ghion, ed è quello che circonda tutto il paese di Cush.
Genesi 2:14	Il nome del terzo fiume è Iddechel, ed è quello che scorre a oriente dell’Assiria. E il quarto fiume è l’Eufrate.
Genesi 2:15	L’Eterno Iddio prese dunque l’uomo e lo pose nel giardino di Eden perché lo lavorasse e lo custodisse.
Genesi 2:16	E l’Eterno Iddio diede all’uomo questo comandamento: “Mangia pure liberamente del frutto di ogni albero del giardino;
Genesi 2:17	ma del frutto dell’albero della conoscenza del bene e del male non ne mangiare; perché, nel giorno in cui ne mangerai, per certo morirai”.
Genesi 2:18	Poi l’Eterno Iddio disse: “Non è bene che l’uomo sia solo; io gli farò un aiuto che gli sia adatto”.
Genesi 2:19	E l’Eterno Iddio, avendo formato dalla terra tutti gli animali dei campi e tutti gli uccelli dei cieli, li portò all’uomo per vedere come li avrebbe chiamati, e perché ogni essere vivente portasse il nome che l’uomo gli avrebbe dato.
Genesi 2:20	E l’uomo dette dei nomi a tutto il bestiame, agli uccelli dei cieli e ad ogni animale dei campi; ma per l’uomo non si trovò aiuto che gli fosse convenevole.
Genesi 2:21	Allora l’Eterno Iddio fece cadere un profondo sonno sull’uomo, che si addormentò; e prese una delle costole di lui, e richiuse la carne al posto d’essa.
Genesi 2:22	E l’Eterno Iddio, con la costola che aveva tolto all’uomo, formò una donna e la condusse all’uomo.
Genesi 2:23	E l’uomo disse: “Questa, finalmente, è ossa delle mie ossa e carne della mia carne. Ella sarà chiamata donna perché è stata tratta dall’uomo”.
Genesi 2:24	Perciò l’uomo lascerà suo padre e sua madre e si unirà a sua moglie, e saranno una sola carne.
Genesi 2:25	E l’uomo e sua moglie erano ambedue nudi e non ne avevano vergogna.
Genesi 3:1	Ora, il serpente era il più astuto di tutti gli animali dei campi che l’Eterno Iddio aveva fatto; ed esso disse alla donna: “Come! Dio ha detto: ‘Non mangiate del frutto di tutti gli alberi del giardino’?”.
Genesi 3:2	E la donna rispose al serpente: “Del frutto degli alberi del giardino ne possiamo mangiare;
Genesi 3:3	ma del frutto dell’albero che è in mezzo al giardino Dio ha detto: ‘Non ne mangiate e non lo toccate, che non abbiate a morire’”.
Genesi 3:4	E il serpente disse alla donna: “No, non morirete affatto;
Genesi 3:5	ma Dio sa che nel giorno in cui ne mangerete, i vostri occhi si apriranno, e sarete come dèi, avendo la conoscenza del bene e del male”.
Genesi 3:6	E la donna vide che l’albero era buono da mangiare, che era bello da vedere, e che l’albero era desiderabile per ottenere comprensione; prese del frutto, ne mangiò, e ne dette anche a suo marito che era con lei, ed egli ne mangiò.
Genesi 3:7	Allora si aprirono gli occhi ad entrambi, e si accorsero che erano nudi; e cucirono delle foglie di fico, e se ne fecero delle vesti con cui cingersi.
Genesi 3:8	E udirono la voce dell’Eterno Iddio, il quale camminava nel giardino sul far della sera; e l’uomo e sua moglie si nascosero dalla presenza dell’Eterno Iddio fra gli alberi del giardino.
Genesi 3:9	E l’Eterno Iddio chiamò l’uomo e gli disse: “Dove sei?”. Ed egli rispose:
Genesi 3:10	“Ho udito la tua voce nel giardino, e ho avuto paura, perché ero nudo, e mi sono nascosto”.
Genesi 3:11	E Dio disse: “Chi ti ha mostrato che eri nudo? Hai tu mangiato del frutto dell’albero del quale io ti avevo comandato di non mangiare?”.
Genesi 3:12	L’uomo rispose: “La donna che tu mi hai messo accanto, è lei che mi ha dato del frutto dell’albero, e io ne ho mangiato”.
Genesi 3:13	E l’Eterno Iddio disse alla donna: “Perché hai fatto questo?”. E la donna rispose: “Il serpente mi ha sedotta, ed io ne ho mangiato”.
Genesi 3:14	Allora l’Eterno Iddio disse al serpente: “Poiché hai fatto questo, sii maledetto fra tutto il bestiame e fra tutti gli animali dei campi! Tu camminerai sul tuo ventre, e mangerai polvere tutti i giorni della tua vita.
Genesi 3:15	E io porrò inimicizia fra te e la donna, e fra la tua progenie e la progenie di lei; questa progenie ti schiaccerà il capo, e tu le ferirai il calcagno”.
Genesi 3:16	Alla donna disse: “Io moltiplicherò grandemente le pene e i dolori della tua gravidanza; con dolore partorirai figli; i tuoi desideri si volgeranno verso tuo marito, ed egli regnerà su di te”.
Genesi 3:17	E ad Adamo disse: “Poiché hai dato ascolto alla voce di tua moglie e hai mangiato del frutto dell’albero circa il quale io ti avevo dato quest’ordine: ‘Non ne mangiare’, il suolo sarà maledetto per causa tua; ne mangerai il frutto con affanno tutti i giorni della tua vita.
Genesi 3:18	Esso ti produrrà spine e triboli, e tu mangerai l’erba dei campi;
Genesi 3:19	mangerai il pane con il sudore del tuo volto, finché tu ritorni nella terra da cui fosti tratto; perché sei polvere, e in polvere ritornerai”.
Genesi 3:20	E l’uomo pose nome Eva a sua moglie, perché era la madre di tutti i viventi.
Genesi 3:21	E l’Eterno Iddio fece ad Adamo e a sua moglie delle tuniche di pelle, e li vestì.
Genesi 3:22	Poi l’Eterno Iddio disse: “Ecco, l’uomo è diventato come uno di noi, quanto a conoscenza del bene e del male. Guardiamo che egli non stenda la mano e prenda anche del frutto dell’albero della vita, e ne mangi, e viva in perpetuo”.
Genesi 3:23	Perciò l’Eterno Iddio mandò via l’uomo dal giardino di Eden, perché lavorasse la terra da cui era stato tratto.
Genesi 3:24	Così egli scacciò l’uomo; e pose ad oriente del giardino di Eden dei cherubini e una spada fiammeggiante che girava tutt’attorno per custodire la via dell’albero della vita.
Genesi 4:1	Ora, Adamo conobbe Eva sua moglie, la quale concepì e partorì Caino, e disse: “Ho ottenuto un uomo, con l’aiuto dell’Eterno”.
Genesi 4:2	Poi partorì ancora Abele, suo fratello. E Abele fu pastore di pecore; e Caino, lavoratore della terra.
Genesi 4:3	E avvenne, di lì a qualche tempo, che Caino fece un’offerta di frutti della terra all’Eterno;
Genesi 4:4	e Abele offrì anch’egli dei primogeniti del suo gregge e del loro grasso. E l’Eterno guardò con favore Abele e la sua offerta,
Genesi 4:5	ma non guardò con favore Caino e la sua offerta. E Caino ne fu molto irritato, e il suo viso ne fu abbattuto.
Genesi 4:6	E l’Eterno disse a Caino: “Perché sei irritato? e perché hai il volto abbattuto?
Genesi 4:7	Se agisci bene non rialzerai tu il volto? ma, se agisci male, il peccato ti sta spiando alla porta, e i suoi desideri sono rivolti verso di te; ma tu lo devi dominare!”.
Genesi 4:8	E Caino disse ad Abele suo fratello: “Usciamo fuori nei campi!”. E avvenne che, quando furono nei campi, Caino si levò contro Abele suo fratello, e lo uccise.
Genesi 4:9	E l’Eterno disse a Caino: “Dov’è Abele tuo fratello?”. Ed egli rispose: “Non lo so; sono io forse il guardiano di mio fratello?”.
Genesi 4:10	E l’Eterno disse: “Che hai fatto? la voce del sangue di tuo fratello grida a me dalla terra.
Genesi 4:11	E ora tu sarai maledetto, rigettato dal suolo, che ha aperto la sua bocca per ricevere il sangue di tuo fratello dalla tua mano.
Genesi 4:12	Quando coltiverai il suolo, esso non ti darà più i suoi prodotti, e tu sarai vagabondo e fuggiasco sulla terra”.
Genesi 4:13	E Caino disse all’Eterno: “Il mio castigo è troppo grande perché io lo possa sopportare.
Genesi 4:14	Ecco, tu mi scacci oggi dalla faccia di questo suolo, ed io sarò nascosto dal tuo cospetto, e sarò vagabondo e fuggiasco sulla terra; e avverrà che chiunque mi troverà mi ucciderà”.
Genesi 4:15	E l’Eterno gli disse: “Perciò, chiunque ucciderà Caino, sarà punito sette volte più di lui”. E l’Eterno mise un segno su Caino, affinché nessuno, trovandolo, l’uccidesse.
Genesi 4:16	E Caino si allontanò dal cospetto dell’Eterno e dimorò nel paese di Nod, a oriente di Eden.
Genesi 4:17	E Caino conobbe sua moglie, la quale concepì e partorì Enoc. Poi si mise a edificare una città, a cui diede il nome di Enoc, dal nome di suo figlio.
Genesi 4:18	E ad Enoc nacque Irad; Irad generò Meujael; Meujael generò Metushael, e Metushael generò Lamec.
Genesi 4:19	E Lamec prese due mogli: il nome dell’una era Ada, e il nome dell’altra, Zilla.
Genesi 4:20	E Ada partorì Iabal, che fu il padre di quelli che abitano sotto le tende e allevano il bestiame.
Genesi 4:21	E il nome di suo fratello era Iubal, che fu il padre di tutti quelli che suonano la cetra e il flauto.
Genesi 4:22	E Zilla partorì anch’essa Tubal-cain, l’artefice di ogni sorta di strumenti di rame e di ferro; e la sorella di Tubal-cain fu Naama.
Genesi 4:23	E Lamec disse alle sue mogli: “Ada e Zilla, ascoltate la mia voce; mogli di Lamec, porgete orecchio al mio dire! Sì, io ho ucciso un uomo perché mi ha ferito, e un giovane perché mi ha colpito.
Genesi 4:24	Se Caino sarà vendicato sette volte, Lamec lo sarà settantasette volte”.
Genesi 4:25	E Adamo conobbe ancora sua moglie, ed essa partorì un figlio, a cui pose nome Seth, “perché”, ella disse, “Dio mi ha dato un altro figlio al posto di Abele, che Caino ha ucciso”.
Genesi 4:26	E anche a Seth nacque un figlio, a cui pose nome Enosh. Allora si cominciò a invocare il nome dell’Eterno.
Genesi 5:1	Questo è il libro della posterità di Adamo. Nel giorno in cui Dio creò l’uomo, lo fece a somiglianza di Dio;
Genesi 5:2	li creò maschio e femmina, li benedisse e dette loro il nome di “uomo”, nel giorno in cui furono creati.
Genesi 5:3	Adamo visse centotrent’anni, generò un figlio, a sua somiglianza, conforme alla sua immagine, e gli pose nome Seth;
Genesi 5:4	e il tempo che Adamo visse, dopo che ebbe generato Seth, fu ottocento anni, e generò figli e figlie;
Genesi 5:5	e tutto il tempo che Adamo visse fu novecentotrent’anni; poi morì.
Genesi 5:6	E Seth visse centocinque anni, e generò Enosh.
Genesi 5:7	E Seth, dopo che ebbe generato Enosh, visse ottocentosette anni, e generò figli e figlie;
Genesi 5:8	e tutto il tempo che Seth visse fu novecentododici anni; poi morì.
Genesi 5:9	Ed Enosh visse novant’anni, e generò Chenan.
Genesi 5:10	Ed Enosh, dopo che ebbe generato Chenan, visse ottocentoquindici anni, e generò figli e figlie;
Genesi 5:11	e tutto il tempo che Enosh visse fu novecentocinque anni; poi morì.
Genesi 5:12	E Chenan visse settant’anni, e generò Mahalaleel.
Genesi 5:13	E Chenan, dopo che ebbe generato Mahalaleel, visse ottocentoquarant’anni, e generò figli e figlie;
Genesi 5:14	e tutto il tempo che Chenan visse fu novecentodieci anni; poi morì.
Genesi 5:15	E Mahalaleel visse sessantacinque anni, e generò Jared.
Genesi 5:16	E Mahalaleel, dopo che ebbe generato Jared, visse ottocentotrent’anni, e generò figli e figlie;
Genesi 5:17	e tutto il tempo che Mahalaleel visse fu ottocentonovantacinque anni; poi morì.
Genesi 5:18	E Iared visse centosessantadue anni, e generò Enoc.
Genesi 5:19	E Iared, dopo che ebbe generato Enoc, visse ottocento anni, e generò figli e figlie;
Genesi 5:20	e tutto il tempo che Iared visse fu novecentosessantadue anni; poi morì.
Genesi 5:21	Ed Enoc visse sessantacinque anni, e generò Metushela.
Genesi 5:22	Ed Enoc, dopo che ebbe generato Metushela, camminò con Dio trecento anni, e generò figli e figlie;
Genesi 5:23	e tutto il tempo che Enoc visse fu trecentosessantacinque anni.
Genesi 5:24	Ed Enoc camminò con Dio; poi scomparve, perché Dio lo prese.
Genesi 5:25	E Metushela visse centottantasette anni e generò Lamec.
Genesi 5:26	E Metushela, dopo che ebbe generato Lamec, visse settecentottantadue anni, e generò figli e figlie;
Genesi 5:27	e tutto il tempo che Metushela visse fu novecentosessantanove anni; poi morì.
Genesi 5:28	E Lamec visse centottantadue anni, e generò un figlio;
Genesi 5:29	e gli pose nome Noè, dicendo: “Questo ci consolerà della nostra opera e della fatica delle nostre mani causata dal suolo che l’Eterno ha maledetto”.
Genesi 5:30	E Lamec, dopo che ebbe generato Noè, visse cinquecentonovantacinque anni, e generò figli e figlie;
Genesi 5:31	e tutto il tempo che Lamec visse fu settecentosettantasette anni; poi morì.
Genesi 5:32	E Noè, all’età di cinquecento anni, generò Sem, Cam e Iafet.
Genesi 6:1	Ora, quando gli uomini cominciarono a moltiplicarsi sulla faccia della terra e furono loro nate delle figlie,
Genesi 6:2	avvenne che i figli di Dio videro che le figlie degli uomini erano belle, e presero per mogli quelle che si scelsero fra tutte.
Genesi 6:3	E l’Eterno disse: “Lo spirito mio non dimorerà per sempre nell’uomo; poiché, nel suo traviamento, egli non è che carne; i suoi giorni saranno quindi centoventi anni”.
Genesi 6:4	In quel tempo c’erano sulla terra i giganti, e ci furono anche in seguito, quando i figli di Dio si accostarono alle figlie degli uomini, e queste fecero loro dei figli. Essi sono gli uomini potenti che, fin dai tempi antichi, sono stati famosi.
Genesi 6:5	E l’Eterno vide che la malvagità degli uomini era grande sulla terra, e che tutti i disegni dei pensieri del loro cuore non erano altro che male in ogni tempo.
Genesi 6:6	E all’Eterno dispiacque aver fatto l’uomo sulla terra, e se ne addolorò in cuor suo.
Genesi 6:7	E l’Eterno disse: “Io sterminerò dalla faccia della terra l’uomo che ho creato: dall’uomo al bestiame, ai rettili, agli uccelli dei cieli; perché mi spiace averli fatti”.
Genesi 6:8	Ma Noè trovò grazia agli occhi dell’Eterno.
Genesi 6:9	Questa è la posterità di Noè. Noè fu uomo giusto, integro, ai suoi tempi; Noè camminò con Dio.
Genesi 6:10	E Noè generò tre figli: Sem, Cam e Iafet.
Genesi 6:11	Ora, la terra era corrotta davanti a Dio; la terra era ripiena di violenza.
Genesi 6:12	E Dio guardò la terra; ed ecco, era corrotta, poiché ogni carne aveva corrotto la sua via sulla terra.
Genesi 6:13	E Dio disse a Noè: “Nei miei decreti, la fine di ogni carne è giunta; poiché la terra, per opera degli uomini, è piena di violenza; ecco, io li distruggerò, insieme con la terra.
Genesi 6:14	Fatti un’arca di legno di gofer; falla a stanze, e spalmala di pece, di dentro e di fuori.
Genesi 6:15	Ed ecco come la dovrai fare: la lunghezza dell’arca sarà di trecento cubiti; la larghezza, di cinquanta cubiti, e l’altezza, di trenta cubiti.
Genesi 6:16	Farai all’arca una finestra, in alto, e le darai la dimensione di un cubito; metterai la porta da un lato, e farai l’arca a tre piani: uno in basso, un secondo e un terzo piano.
Genesi 6:17	Ed ecco, io sto per far venire il diluvio delle acque sulla terra, per distruggere sotto i cieli ogni carne in cui c’è alito di vita; tutto quello che è sopra la terra morirà.
Genesi 6:18	Ma io stabilirò la mia alleanza con te; e tu entrerai nell’arca: tu e i tuoi figli, tua moglie e le mogli dei tuoi figli con te.
Genesi 6:19	E di tutto ciò che vive, di ogni carne, fanne entrare nell’arca due di ogni specie, per conservarli in vita con te; e siano maschio e femmina.
Genesi 6:20	Degli uccelli secondo le loro specie, del bestiame secondo le sue specie, e di tutti i rettili della terra secondo le loro specie, due di ogni specie verranno a te, perché tu li conservi in vita.
Genesi 6:21	E tu prenditi di ogni cibo che si mangia, e fattene provvista, perché serva di nutrimento a te e a loro’.
Genesi 6:22	E Noè fece così; fece tutto quello che Dio gli aveva comandato.
Genesi 7:1	E l’Eterno disse a Noè: “Entra nell’arca tu con tutta la tua famiglia, poiché ti ho veduto giusto nel mio cospetto, in questa generazione.
Genesi 7:2	Di ogni specie di animali puri prendine sette coppie, maschio e femmina; e degli animali impuri una coppia, maschio e femmina;
Genesi 7:3	e anche degli uccelli dei cieli prendine sette coppie, maschio e femmina, per mantenerne vivo il seme sulla faccia di tutta la terra;
Genesi 7:4	poiché di qui a sette giorni farò piovere sulla terra per quaranta giorni e quaranta notti, e sterminerò dalla faccia della terra tutti gli esseri viventi che ho fatto”.
Genesi 7:5	E Noè fece tutto quello che l’Eterno gli aveva comandato.
Genesi 7:6	Noè era in età di seicento anni, quando il diluvio delle acque inondò la terra.
Genesi 7:7	E Noè, con i suoi figli, con sua moglie e con le mogli dei suoi figli, entrò nell’arca per scampare dalle acque del diluvio.
Genesi 7:8	Degli animali puri e degli animali impuri, degli uccelli e di tutto quello che striscia sulla terra,
Genesi 7:9	vennero delle coppie, maschio e femmina, a Noè nell’arca, come Dio aveva comandato a Noè.
Genesi 7:10	E, al termine dei sette giorni, avvenne che le acque del diluvio furono sulla terra.
Genesi 7:11	L’anno seicentesimo della vita di Noè, il secondo mese, il diciassettesimo giorno del mese, in quel giorno, tutte le fonti del grande abisso scoppiarono e le cateratte del cielo si aprirono.
Genesi 7:12	E piovve sulla terra per quaranta giorni e quaranta notti.
Genesi 7:13	In quello stesso giorno, Noè, Sem, Cam e Jafet, figli di Noè, la moglie di Noè e le tre mogli dei suoi figli con loro, entrarono nell’arca:
Genesi 7:14	essi, e tutti gli animali secondo le loro specie, e tutto il bestiame secondo le sue specie, e tutti i rettili che strisciano sulla terra, secondo le loro specie, e tutti gli uccelli secondo le loro specie, tutti i volatili, tutto quel che porta ali.
Genesi 7:15	Di ogni carne in cui c’è alito di vita venne una coppia a Noè nell’arca:
Genesi 7:16	venivano maschio e femmina di ogni carne, come Dio aveva comandato a Noè; poi l’Eterno lo chiuse dentro l’arca.
Genesi 7:17	E il diluvio venne sopra la terra per quaranta giorni; e le acque crebbero e sollevarono l’arca, che si innalzò sopra la terra.
Genesi 7:18	E le acque ingrossarono e crebbero grandemente sopra la terra, e l’arca galleggiava sulla superficie delle acque.
Genesi 7:19	E le acque ingrossarono oltremodo sopra la terra; e tutte le alte montagne che erano sotto tutti i cieli furono coperte.
Genesi 7:20	Le acque salirono quindici cubiti al di sopra delle vette dei monti; e le montagne furono coperte.
Genesi 7:21	E perì ogni carne che si muoveva sulla terra: uccelli, bestiame, animali selvatici, rettili di ogni sorta striscianti sulla terra, e tutti gli uomini.
Genesi 7:22	Tutto quello che era sulla terra asciutta ed aveva alito di vita nelle sue narici morì.
Genesi 7:23	E tutti gli esseri che erano sulla faccia della terra furono sterminati: dall’uomo fino al bestiame, ai rettili e agli uccelli del cielo; furono sterminati dalla terra; non scampò che Noè con quelli che erano con lui nell’arca.
Genesi 7:24	E le acque rimasero alte sopra la terra per centocinquanta giorni.
Genesi 8:1	Ora, Dio si ricordò di Noè, di tutti gli animali e di tutto il bestiame che era con lui nell’arca; e Dio fece passare un vento sulla terra, e le acque si calmarono;
Genesi 8:2	le fonti dell’abisso e le cateratte del cielo furono chiuse, e cessò la pioggia dal cielo;
Genesi 8:3	le acque andarono continuamente ritirandosi dalla terra, e alla fine di centocinquanta giorni cominciarono a calare.
Genesi 8:4	E nel settimo mese, il diciassettesimo giorno del mese, l’arca si fermò sulle montagne di Ararat.
Genesi 8:5	E le acque andarono calando fino al decimo mese. Nel decimo mese, il primo giorno del mese, apparvero le vette dei monti.
Genesi 8:6	E in capo a quaranta giorni, Noè aprì la finestra che aveva fatto nell’arca,
Genesi 8:7	e mandò fuori il corvo, il quale uscì, andando e tornando, finché le acque furono asciugate sulla terra.
Genesi 8:8	Poi mandò fuori la colomba, per vedere se le acque fossero diminuite sulla superficie della terra.
Genesi 8:9	Ma la colomba non trovò dove posare la pianta del suo piede, e tornò da lui nell’arca, perché c’erano delle acque sulla superficie di tutta la terra; ed egli stese la mano, la prese, e la portò con sé dentro l’arca.
Genesi 8:10	E aspettò altri sette giorni, poi mandò di nuovo la colomba fuori dell’arca.
Genesi 8:11	E la colomba tornò da lui, verso sera; ed ecco, essa aveva nel becco una foglia fresca d’ulivo; onde Noè capì che le acque erano calate sopra la terra.
Genesi 8:12	E aspettò altri sette giorni, poi mandò fuori la colomba; ma essa non tornò più da lui.
Genesi 8:13	Il seicentounesimo anno di Noè, il primo mese, il primo giorno del mese, le acque si erano asciugate sulla terra; e Noè scoperchiò l’arca, guardò, ed ecco che la superficie del suolo era asciutta.
Genesi 8:14	E il secondo mese, il ventisettesimo giorno del mese, la terra era asciutta.
Genesi 8:15	E Dio parlò a Noè, dicendo:
Genesi 8:16	“Esci dall’arca tu e tua moglie, i tuoi figli e le mogli dei tuoi figli con te.
Genesi 8:17	Fa’ uscire assieme a te tutti gli animali che sono con te, di ogni carne: uccelli, bestiame, e tutti i rettili che strisciano sulla terra, perché abbondino sulla terra, e siano fecondi e si moltiplichino sulla terra”.
Genesi 8:18	E Noè uscì con i suoi figli, con sua moglie, e con le mogli dei suoi figli.
Genesi 8:19	Tutti gli animali, tutti i rettili, tutti gli uccelli, tutto quel che si muove sulla terra, secondo le loro famiglie, uscirono dall’arca.
Genesi 8:20	E Noè edificò un altare all’Eterno; prese di ogni specie di animali puri e di ogni specie di uccelli puri, e offrì olocausti sull’altare.
Genesi 8:21	E l’Eterno sentì un odore soave; e l’Eterno disse in cuor suo: “Io non maledirò più la terra a motivo dell’uomo, poiché i disegni del cuore dell’uomo sono malvagi fin dalla sua fanciullezza; e non colpirò più ogni cosa vivente, come ho fatto.
Genesi 8:22	Finché la terra durerà, semina e raccolta, freddo e caldo, estate e inverno, giorno e notte, non cesseranno mai”.
Genesi 9:1	E Dio benedisse Noè e i suoi figli, e disse loro: “Siate fecondi, moltiplicatevi, e riempite la terra.
Genesi 9:2	E tutti gli animali della terra e tutti gli uccelli del cielo avranno timore e spavento di voi. Essi sono dati in vostro potere con tutto ciò che striscia sulla terra e con tutti i pesci del mare.
Genesi 9:3	Tutto ciò che si muove e ha vita vi servirà da cibo; io vi do tutto questo, come l’erba verde;
Genesi 9:4	ma non mangerete carne con la sua vita, cioè con il suo sangue.
Genesi 9:5	E, certo, io chiederò conto del vostro sangue, del sangue delle vostre vite; ne chiederò conto ad ogni animale; e chiederò conto della vita dell’uomo alla mano dell’uomo, alla mano di ogni suo fratello.
Genesi 9:6	Il sangue di chiunque spargerà il sangue dell’uomo sarà sparso dall’uomo, perché Dio ha fatto l’uomo a sua immagine.
Genesi 9:7	Voi dunque siate fecondi e moltiplicatevi; abbondatesulla terra, e moltiplicatevi in essa”.
Genesi 9:8	Poi Dio parlò a Noè e ai suoi figli con lui, dicendo:
Genesi 9:9	“Quanto a me, ecco, stabilisco la mia alleanza con voi e con la vostra progenie dopo di voi,
Genesi 9:10	e con tutti gli esseri viventi che sono con voi: uccelli, bestiame, e tutti gli animali della terra con voi; da tutti quelli che sono usciti dall’arca a tutti quanti gli animali della terra.
Genesi 9:11	Io stabilisco la mia alleanza con voi, e nessuna carne sarà più sterminata dalle acque del diluvio, e non ci sarà più diluvio per distruggere la terra”.
Genesi 9:12	E Dio disse: “Ecco il segno dell’alleanza che io faccio tra me e voi e tutti gli esseri viventi che sono con voi, per tutte le generazioni a venire.
Genesi 9:13	Io pongo il mio arco nella nuvola, e servirà di segno dell’alleanza fra me e la terra.
