Mateus 1:1	Livro da geração de Jesus Cristo, filho de Davi, filho de Abraão.
Mateus 4:8	Novamente, o diabo o levou a um monte muito alto, e mostrou-lhe todos os reinos do mundo, e a glória deles.
Mateus 4:9	E disse-lhe: Tudo isto te darei se, prostrado, me adorares.
Mateus 4:10	Então disse-lhe Jesus: Vai-te, Satanás, porque está escrito: Ao Senhor teu Deus adorarás, e só a ele servirás.
Mateus 4:11	Então o diabo o deixou; e eis que chegaram os anjos, e o serviram.
Mateus 4:12	Jesus, porém, ouvindo que João estava preso, voltou para a Galileia;
Mateus 4:13	E deixando Nazaré, foi habitar em Cafarnaum, cidade marítima, nos confins de Zebulom e Naftali;
Mateus 4:14	Para que se cumprisse o que foi dito pelo profeta Isaías, que diz:
Mateus 4:15	A terra de Zebulom, e a terra de Naftali, junto ao caminho do mar, além do Jordão, a Galileia das nações;
Mateus 4:16	O povo, assentado em trevas, viu uma grande luz; e para os que estavam assentados na região e sombra da morte raiou a luz.
Mateus 4:17	Desde então começou Jesus a pregar, e a dizer: Arrependei-vos, porque é chegado o reino dos céus.
Mateus 4:18	E Jesus, andando junto ao mar da Galileia, viu dois irmãos, Simão, chamado Pedro, e André, que lançavam a rede ao mar, porque eram pescadores.
Mateus 4:19	E disse-lhes: Vinde após mim, e eu vos farei pescadores de homens.
Mateus 4:20	Então eles, deixando logo as redes, seguiram-no.
Mateus 4:21	E adiantando-se dali, viu outros dois irmãos, Tiago, filho de Zebedeu, e João, seu irmão, num barco com seu pai Zebedeu, consertando as redes; e chamou-os;
Mateus 4:22	Eles, deixando imediatamente o barco e seu pai, seguiram-no.
Mateus 4:23	E percorria Jesus toda a Galileia, ensinando nas suas sinagogas e pregando o evangelho do reino, e curando todas as enfermidades e moléstias entre o povo.
Mateus 4:24	E a sua fama correu por toda a Síria, e traziam-lhe todos os que padeciam, acometidos de várias enfermidades e tormentos, os endemoniados, os lunáticos, e os paralíticos, e ele os curava.
Mateus 4:25	E seguiam-no grandes multidões da Galileia, de Decápolis, de Jerusalém, da Judeia, e de além do Jordão.
Mateus 5:1	E Jesus, vendo as multidões, subiu a um monte, e assentando-se, aproximaram-se dele os seus discípulos;
Mateus 5:2	E abrindo a sua boca, os ensinava, dizendo:
Mateus 5:3	Bem-aventurados os pobres de espírito, porque deles é o reino dos céus;
Mateus 5:4	Bem-aventurados os que choram, porque eles serão consolados;
Mateus 5:5	Bem-aventurados os mansos, porque eles herdarão a terra;
Mateus 5:6	Bem-aventurados os que têm fome e sede de justiça, porque eles serão fartos;
Mateus 5:7	Bem-aventurados os misericordiosos, porque eles alcançarão misericórdia;
Mateus 5:8	Bem-aventurados os puros de coração, porque eles verão a Deus;
Mateus 5:9	Bem-aventurados os pacificadores, porque eles serão chamados filhos de Deus;
Mateus 5:10	Bem-aventurados os que sofrem perseguição por causa da justiça, porque deles é o reino dos céus;
Mateus 5:11	Bem-aventurados sois vós, quando vos injuriarem e perseguirem, e mentindo, falarem todo mal contra vós por minha causa.
Mateus 5:12	Exultai e alegrai-vos, porque é grande o vosso galardão nos céus; porque assim perseguiram os profetas que vieram antes de vós.
Mateus 5:13	Vós sois o sal da terra; e se o sal se tornar insípido, com que se há de salgar? para nada mais presta senão para se lançar fora, e ser pisado pelos homens.
Mateus 5:14	Vós sois a luz do mundo; não se pode esconder uma cidade edificada sobre um monte,
Mateus 5:15	Nem se acende a candeia e se coloca debaixo do alqueire, mas no velador, e dá luz a todos que estão na casa.
Mateus 5:16	Assim resplandeça a vossa luz diante dos homens, para que vejam as vossas boas obras, e glorifiquem a vosso Pai, que está nos céus.
Mateus 5:17	Não cuideis que vim destruir a lei ou os profetas; não vim para destruir, mas para cumprir.
Mateus 5:18	Porque em verdade vos digo que, até que o céu e a terra passem, nem um jota nem um só til se omitirá da lei, sem que tudo seja cumprido.
Mateus 5:19	Qualquer, pois, que violar um destes mínimos mandamentos, e assim ensinar os homens, será chamado o menor no reino dos céus; aquele, porém, que os cumprir e ensinar será chamado grande no reino dos céus.
Mateus 5:20	Porque vos digo que, se a vossa justiça não exceder a dos escribas e fariseus, de modo nenhum entrareis no reino dos céus.
Mateus 5:21	Ouvistes que foi dito aos antigos: Não matarás; mas qualquer que matar será réu de juízo.
Mateus 5:22	Eu vos digo, porém, que qualquer que se encolerizar contra seu irmão, sem motivo, será réu de juízo; e qualquer que disser a seu irmão: Raca, será réu do Sinédrio; qualquer que lhe disser: Louco, será réu do fogo do inferno.
Mateus 5:23	Portanto, se trouxeres a tua oferta ao altar, e aí te lembrares de que teu irmão tem alguma coisa contra ti,
Mateus 5:24	Deixa ali diante do altar a tua oferta, e vai, reconcilia-te primeiro com teu irmão, e depois vem e apresenta a tua oferta.
Mateus 5:25	Concilia-te depressa com o teu adversário, enquanto estás no caminho com ele, para que não aconteça que o adversário te entregue ao juiz, e o juiz te entregue ao guarda, e te encerrem na prisão.
Mateus 5:26	Em verdade te digo que de maneira nenhuma sairás dali enquanto não pagares o último ceitil.
Mateus 5:27	Ouvistes que foi dito aos antigos: Não cometerás adultério.
Mateus 5:28	Eu vos digo, porém, que qualquer que olhar para uma mulher para a cobiçar, já em seu coração cometeu adultério com ela.
Mateus 5:29	Portanto, se o teu olho direito te escandalizar, arranca-o e atira-o para longe de ti, pois te é melhor que se perca um dos teus membros, do que todo o teu corpo seja lançado no inferno.
Mateus 5:30	E se a tua mão direita te escandalizar, corta-a e atira-a para longe de ti, porque te é melhor que um dos teus membros se perca, do que todo o teu corpo seja lançado no inferno.
Mateus 5:31	Também foi dito: Qualquer que deixar sua mulher, dê-lhe carta de divórcio.
Mateus 5:32	Eu, porém, vos digo que qualquer que repudiar sua mulher, sem ser por causa de fornicação, faz que ela cometa adultério, e qualquer que casar com a repudiada comete adultério.
Mateus 5:33	Outrossim, ouvistes que foi dito aos antigos: Não perjurarás, mas cumprirás teus juramentos ao Senhor.
Mateus 5:34	Eu vos digo, porém, que de maneira nenhuma jureis; nem pelo céu, porque é o trono de Deus;
Mateus 5:35	Nem pela terra, porque é o escabelo de seus pés; nem por Jerusalém, porque é a cidade do grande Rei;
Mateus 5:36	Nem jurarás pela tua cabeça, porque não podes tornar um cabelo branco ou preto.
Mateus 5:37	Seja, porém, o vosso falar: Sim, sim; Não, não; porque o que passa disso é de procedência maligna.
Mateus 5:38	Ouvistes que foi dito: Olho por olho, e dente por dente.
Mateus 5:39	Eu vos digo, porém, que não resistais ao homem mau; mas, se qualquer te bater na face direita, oferece-lhe também a outra;
Mateus 5:40	E ao que quiser pleitear contigo, e tirar-te a túnica, larga-lhe também a capa;
Mateus 5:41	E se qualquer te obrigar a caminhar uma milha, vai com ele duas.
Mateus 5:42	Dá a quem te pedir, e não te desvies daquele que quiser que lhe emprestes.
Mateus 5:43	Ouvistes que foi dito: Amarás o teu próximo, e odiarás o teu inimigo.
Mateus 5:44	Eu vos digo, porém: Amai vossos inimigos, bendizei os que vos maldizem, fazei bem aos que vos odeiam, e orai pelos que vos maltratam e vos perseguem;
Mateus 5:45	Para que sejais filhos do vosso Pai que está nos céus; porque faz que o seu sol se levante sobre os maus e os bons, e a chuva desça sobre os justos e os injustos.
Mateus 5:46	Pois, se amardes os que vos amam, que galardão tereis? Não fazem os publicanos também o mesmo?
Mateus 5:47	E se saudardes unicamente os vossos irmãos, que fazeis de mais? Não fazem os publicanos também assim?
Mateus 5:48	Sede vós, pois, perfeitos, como é perfeito o vosso Pai que está nos céus.
Mateus 6:1	Guardai-vos de fazer a vossa esmola diante dos homens, para serdes vistos por eles; de outra forma, não tereis galardão junto de vosso Pai, que está nos céus.
Mateus 6:2	Quando, pois, deres esmola, não faças tocar trombeta diante de ti, como fazem os hipócritas nas sinagogas e nas ruas, para serem glorificados pelos homens. Em verdade vos digo que já receberam o seu galardão.
Mateus 6:3	Mas, quando tu deres esmola, não saiba a tua mão esquerda o que faz a tua direita;
Mateus 6:4	Para que a tua esmola seja dada em oculto; e teu Pai, que vê em oculto, te recompensará publicamente.
Mateus 6:5	E quando orares, não sejas como os hipócritas; pois se comprazem em orar em pé nas sinagogas, e às esquinas das ruas, para serem vistos pelos homens. Em verdade vos digo que já receberam o seu galardão.
Mateus 6:6	Mas tu, quando orares, entra no teu aposento, e fechando a tua porta, ora a teu Pai que está em oculto; e teu Pai, que vê em oculto, te recompensará publicamente.
Mateus 6:7	E orando, não useis vãs repetições, como os gentios, que pensam que por muito falarem serão ouvidos.
Mateus 6:8	Não vos assemelheis, pois, a eles; porque vosso Pai sabe o que vos é necessário, antes de vós lho pedirdes.
Mateus 6:9	Portanto, vós orareis assim: Pai nosso, que estás nos céus, santificado seja o teu nome;
Mateus 6:10	Venha o teu reino, seja feita a tua vontade, assim na terra como no céu;
Mateus 6:11	O pão nosso de cada dia dá-nos hoje;
Mateus 6:12	E perdoa-nos as nossas dívidas, assim como nós perdoamos aos nossos devedores;
Mateus 6:13	E não nos induzas à tentação; mas livra-nos do mal; porque teu é o reino, e o poder, e a glória, para sempre. Amém.
Mateus 6:14	Porque, se perdoardes aos homens as suas ofensas, também vosso Pai Celestial vos perdoará a vós;
Mateus 6:15	Se, porém, não perdoardes aos homens as suas ofensas, tampouco vosso Pai vos perdoará as vossas ofensas.
Mateus 6:16	E quando jejuardes, não vos mostreis contristados como os hipócritas; porque desfiguram o rosto, para que aos homens pareça que jejuam. Em verdade vos digo que já receberam o seu galardão.
Mateus 6:17	Porém tu, quando jejuares, unge a tua cabeça, e lava o teu rosto,
Mateus 6:18	Para não parecer aos homens que jejuas, mas a teu Pai, que está em oculto; e teu Pai, que vê em oculto, te recompensará publicamente.
Mateus 6:19	Não ajunteis tesouros na terra, onde a traça e a ferrugem tudo consomem, e onde os ladrões minam e roubam;
Mateus 6:20	Mas ajuntai tesouros no céu, onde nem a traça nem a ferrugem consomem, e onde os ladrões não minam nem roubam.
Mateus 6:21	Porque onde estiver o vosso tesouro, aí estará também o vosso coração.
Mateus 6:22	A candeia do corpo são os olhos; de sorte que, se os teus olhos forem bons, todo o teu corpo terá luz;
Mateus 6:23	Se, porém, os teus olhos forem maus, o teu corpo será tenebroso. Se, portanto, a luz que em ti há são trevas, quão grandes serão as trevas!
Mateus 6:24	Ninguém pode servir a dois senhores; porque ou há de odiar um e amar o outro, ou se dedicará a um e desprezará o outro. Não podeis servir a Deus e a Mamom.
Mateus 6:25	Por isso vos digo: Não andeis cuidadosos quanto à vossa vida, pelo que haveis de comer ou pelo que haveis de beber; nem quanto ao vosso corpo, pelo que haveis de vestir. Não é a vida mais do que o mantimento, e o corpo, mais do que o vestuário?
Mateus 6:26	Olhai para as aves do céu, que nem semeiam, nem ceifam, nem ajuntam em celeiros; e vosso Pai Celestial as alimenta. Não tendes vós muito mais valor do que elas?
Mateus 6:27	E qual de vós poderá, com todos os seus cuidados, acrescentar um côvado à sua estatura?
Mateus 6:28	E quanto ao vestuário, por que andais ansiosos? Olhai para os lírios do campo, como eles crescem; não trabalham nem fiam;
Mateus 6:29	E eu vos digo que nem mesmo Salomão, em toda a sua glória, se vestiu como qualquer deles.
Mateus 6:30	Pois, se Deus assim veste a erva do campo, que hoje existe e amanhã é lançada no forno, não vos vestirá muito mais a vós, homens de pouca fé?
Mateus 6:31	Não andeis, pois, inquietos, dizendo: Que comeremos, ou que beberemos, ou com que nos vestiremos?
Mateus 6:32	(Porque todas essas coisas os gentios procuram). Pois vosso Pai Celestial bem sabe que necessitais de todas essas coisas;
Mateus 6:33	Mas buscai primeiro o reino de Deus, e a sua justiça, e todas essas coisas vos serão acrescentadas.
Mateus 6:34	Não vos inquieteis, pois, pelo dia de amanhã, porque o dia de amanhã cuidará de si mesmo. Basta a cada dia o seu mal.
Mateus 7:1	Não julgueis, para que não sejais julgados.
Mateus 7:2	Porque com o juízo com que julgardes sereis julgados, e com a medida com que tiverdes medido hão de medir a vós.
Mateus 7:3	E por que reparas tu no argueiro que está no olho do teu irmão, e não vês a trave que está no teu olho?
Mateus 7:4	Ou como dirás a teu irmão: Deixa-me tirar o argueiro do teu olho; e eis uma trave no teu olho?
Mateus 7:5	Hipócrita, tira primeiro a trave do teu olho, e então verás claramente para tirar o argueiro do olho do teu irmão.
Mateus 7:6	Não deis aos cães as coisas santas, nem lanceis aos porcos as vossas pérolas, para que não as pisem com os pés, e voltando-se, vos despedacem.
Mateus 7:7	Pedi, e dar-se-vos-á; buscai, e encontrareis; batei, e abrir-se-vos-á.
Mateus 7:8	Porque todo aquele que pede, recebe; e o que busca, encontra; e ao que bate, se abre.
Mateus 7:9	E qual dentre vós é o homem que, pedindo-lhe pão o seu filho, lhe dará uma pedra?
Mateus 7:10	E pedindo-lhe peixe, lhe dará uma serpente?
Mateus 7:11	Se vós, pois, sendo maus, sabeis dar boas dádivas aos vossos filhos, quanto mais vosso Pai, que está nos céus, dará coisas boas aos que lhe pedirem?
Mateus 7:12	Portanto, tudo o que vós quereis que os homens vos façam, fazei-o também vós a eles, porque esta é a lei e os profetas.
Mateus 7:13	Entrai pela porta estreita, porque larga é a porta, e espaçoso o caminho que conduz à perdição, e muitos são os que entram por ele;
Mateus 7:14	Porque estreita é a porta, e apertado o caminho que leva à vida, e poucos há que o encontrem.
Mateus 7:15	Acautelai-vos, porém, dos falsos profetas, que vêm a vós vestidos como ovelhas, mas interiormente são lobos devoradores.
Mateus 7:16	Por seus frutos os conhecereis. Porventura colhem-se uvas dos espinheiros ou figos dos abrolhos?
Mateus 7:17	Assim, toda árvore boa produz bons frutos, e toda árvore má produz frutos maus.
Mateus 7:18	Não pode a árvore boa dar maus frutos, nem a árvore má dar frutos bons.
Mateus 7:19	Toda árvore que não dá bom fruto corta-se e lança-se no fogo.
Mateus 7:20	E assim, pelos seus frutos os conhecereis.
Mateus 7:21	Nem todo o que me diz: Senhor, Senhor! entrará no reino dos céus, mas aquele que faz a vontade de meu Pai, que está nos céus.
Mateus 7:22	Muitos me dirão naquele dia: Senhor, Senhor, não profetizamos nós em teu nome? e em teu nome não expulsamos demônios? e em teu nome não fizemos muitas maravilhas?
Mateus 7:23	E então lhes direi abertamente: Nunca vos conheci; apartai-vos de mim, vós que praticais a iniquidade.
Mateus 7:24	Todo aquele, pois, que escuta estas minhas palavras e as pratica, assemelhá-lo-ei ao homem prudente, que edificou a sua casa sobre a rocha;
Mateus 7:25	E desceu a chuva, e correram os rios, e sopraram os ventos, e combateram aquela casa, e não caiu, porque estava edificada sobre a rocha.
Mateus 7:26	E aquele que ouve estas minhas palavras, e não as pratica, compará-lo-ei ao homem insensato, que edificou a sua casa sobre a areia;
Mateus 7:27	E desceu a chuva, e correram os rios, e sopraram os ventos, e combateram aquela casa, e caiu, e foi grande a sua queda.
Mateus 7:28	E aconteceu que, concluindo Jesus este discurso, a multidão se admirou da sua doutrina,
Mateus 7:29	Porque os ensinava como tendo autoridade, e não como os escribas.
Mateus 8:1	E descendo ele do monte, seguiu-o uma grande multidão.
Mateus 8:2	E eis que veio um leproso, e o adorou, dizendo: Senhor, se tu queres, podes tornar-me limpo.
Mateus 8:3	E Jesus, estendendo a mão, tocou-o, dizendo: Quero; sê limpo. E logo ficou limpo da lepra.
Mateus 8:4	Disse-lhe então Jesus: Olha, não o digas a ninguém, mas vai, mostra-te ao sacerdote, e apresenta a oferta que Moisés determinou, para lhes servir de testemunho.
Mateus 8:5	E entrando Jesus em Cafarnaum, veio a ele um centurião, rogando-lhe,
Mateus 8:6	E dizendo: Senhor, o meu criado jaz em casa, paralítico, e violentamente atormentado.
Mateus 8:7	E Jesus lhe disse: Eu irei curá-lo.
Mateus 8:8	E o centurião, respondendo, disse: Senhor, não sou digno de que entres debaixo do meu telhado, mas dize somente uma palavra, e o meu criado há de sarar;
Mateus 8:9	Pois também eu sou homem sujeito à autoridade, e tenho soldados às minhas ordens; e digo a este: Vai, e ele vai; e a outro: Vem, e ele vem; e ao meu criado: Faze isto, e ele o faz.
Mateus 8:10	E maravilhou-se Jesus, ouvindo isso, e disse aos que o seguiam: Em verdade vos digo que nem em Israel encontrei tanta fé.
Mateus 8:11	Mas eu vos digo que muitos virão do oriente e do ocidente, e assentar-se-ão à mesa com Abraão, e Isaque, e Jacó, no reino dos céus;
Mateus 8:12	E os filhos do reino serão lançados nas trevas exteriores; ali haverá pranto e ranger de dentes.
Mateus 8:13	Então disse Jesus ao centurião: Vai, e como creste te seja feito. E naquela mesma hora o seu criado sarou.
Mateus 8:14	E Jesus, entrando na casa de Pedro, viu a sogra deste jazendo com febre.
Mateus 8:15	E tocou-lhe na mão, e a febre a deixou; e levantou-se, e serviu-os.
Mateus 8:16	E chegada a tarde, trouxeram-lhe muitos endemoniados, e com a palavra expulsou deles os espíritos malignos, e curou todos os que estavam enfermos;
Mateus 8:17	Para que se cumprisse o que fora dito pelo profeta Isaías, que diz: Ele tomou sobre si as nossas enfermidades, e levou as nossas doenças.
Mateus 8:18	E Jesus, vendo em torno de si uma grande multidão, ordenou que passassem para o outro lado;
Mateus 8:19	E aproximando-se dele um escriba, disse-lhe: Mestre, aonde quer que fores, eu te seguirei.
Mateus 8:20	E disse Jesus: As raposas têm seus covis, e as aves do céu têm seus ninhos, mas o Filho do Homem não tem onde reclinar a cabeça.
Mateus 8:21	E outro de seus discípulos lhe disse: Senhor, permite-me que primeiro vá sepultar meu pai.
Mateus 8:22	Jesus, porém, disse-lhe: Segue-me, e deixa aos mortos o sepultar os seus mortos.
Mateus 8:23	E entrando ele no barco, seus discípulos o seguiram;
Mateus 8:24	E eis que no mar se levantou uma tempestade tão grande que o barco era coberto pelas ondas; ele, porém, estava dormindo.
Mateus 8:25	E os seus discípulos, aproximando-se, o despertaram, dizendo: Senhor, salva-nos, que perecemos!
Mateus 8:26	E ele disse-lhes: Por que temeis, homens de pouca fé? Então, levantando-se, repreendeu os ventos e o mar, e seguiu-se uma grande bonança.
Mateus 8:27	E aqueles homens se maravilharam, dizendo: Quem é este, que até os ventos e o mar lhe obedecem?
Mateus 8:28	E tendo chegado ao outro lado, à província dos gergesenos, saíram-lhe ao encontro dois endemoniados, vindos dos sepulcros, tão ferozes que ninguém podia passar por aquele caminho.
Mateus 8:29	E eis que clamaram, dizendo: Que temos nós contigo, Jesus, Filho de Deus? Vieste aqui para atormentar-nos antes do tempo?
Mateus 8:30	E andava pastando distante deles uma manada de muitos porcos.
Mateus 8:31	E os demônios rogaram-lhe, dizendo: Se nos expulsas, permite-nos que entremos naquela manada de porcos.
Mateus 8:32	E ele lhes disse: Ide. E saindo eles, se introduziram na manada dos porcos; e eis que toda aquela manada de porcos se precipitou no mar por um despenhadeiro, e morreram nas águas.
Mateus 8:33	E os que os apascentavam fugiram, e chegando à cidade, divulgaram todas aquelas coisas, e o que acontecera aos endemoniados.
Mateus 8:34	E eis que toda aquela cidade saiu ao encontro de Jesus, e vendo-o, rogaram-lhe que se retirasse dos seus termos.
Mateus 9:1	E entrando no barco, passou para o outro lado, e chegou à sua cidade. E eis que lhe trouxeram um paralítico deitado numa cama.
Mateus 9:2	E Jesus, vendo a sua fé, disse ao paralítico: Filho, tem bom ânimo, perdoados te são os teus pecados.
Mateus 9:3	E eis que alguns dos escribas diziam entre si: Ele blasfema.
