Gênesis 1:1	No princípio, Deus criou os céus e a terra.
Gênesis 2:7	E formou o Senhor Deus o homem do pó da terra, e soprou em suas narinas o fôlego da vida; e o homem foi feito alma vivente.
Gênesis 2:8	E plantou o Senhor Deus um jardim no Éden, a oriente, e pôs ali o homem que tinha formado.
Gênesis 2:9	E o Senhor Deus fez brotar da terra toda árvore agradável à vista e boa para comida; e a árvore da vida no meio do jardim, e a árvore do conhecimento do bem e do mal.
Gênesis 2:10	E saía um rio do Éden para regar o jardim; e dali se dividia e se tornava em quatro braços.
Gênesis 2:11	O nome do primeiro é Pisom; este é o que rodeia toda a terra de Havilá, onde há ouro.
Gênesis 2:12	E o ouro dessa terra é bom; ali há o bdélio, e a pedra ônix.
Gênesis 2:13	E o nome do segundo rio é Giom; este é o que rodeia toda a terra de Cuxe.
Gênesis 2:14	E o nome do terceiro rio é Tigre; este é o que vai para o oriente da Assíria; e o quarto rio é o Eufrates.
Gênesis 2:15	E tomou o Senhor Deus o homem e o pôs no jardim do Éden para o lavrar e o guardar.
Gênesis 2:16	E ordenou o Senhor Deus ao homem, dizendo: De toda árvore do jardim comerás livremente,
Gênesis 2:17	Mas da árvore do conhecimento do bem e do mal, dela não comerás, porque no dia em que dela comeres, certamente morrerás.
Gênesis 2:18	E disse o Senhor Deus: Não é bom que o homem esteja só; far-lhe-ei uma adjutora que lhe seja adequada.
Gênesis 2:19	Havendo, pois, o Senhor Deus formado da terra todo animal do campo, e toda ave dos céus, levou-os a Adão, para ver como ele os chamaria; e tudo o que Adão chamou cada criatura vivente, isso foi o seu nome.
Gênesis 2:20	E Adão deu nome a todo o gado, e às aves dos céus, e a todo animal do campo; mas para o homem não se achava adjutora que lhe fosse adequada.
Gênesis 2:21	Então o Senhor Deus fez cair um sono pesado sobre Adão, e este adormeceu; e tomou uma das suas costelas e fechou a carne em seu lugar;
Gênesis 2:22	E da costela que o Senhor Deus tomou do homem, formou uma mulher, e levou-a a Adão.
Gênesis 2:23	E disse Adão: Esta é agora osso dos meus ossos e carne da minha carne; esta será chamada mulher, porquanto do homem foi tomada.
Gênesis 2:24	Portanto, deixará o homem o seu pai e a sua mãe, e apegar-se-á à sua mulher, e serão ambos uma carne.
Gênesis 2:25	E ambos estavam nus, o homem e a sua mulher, e não se envergonhavam.
Gênesis 3:1	Ora, a serpente era mais astuta que todos os animais do campo que o Senhor Deus tinha feito. E esta disse à mulher: É assim que Deus disse: Não comereis de toda a árvore do jardim?
Gênesis 3:2	E disse a mulher à serpente: Do fruto das árvores do jardim podemos comer,
Gênesis 3:3	Mas do fruto da árvore que está no meio do jardim, disse Deus: Não comereis dele, nem nele tocareis, para que não morrais.
Gênesis 3:4	Então a serpente disse à mulher: Certamente não morrereis.
Gênesis 3:5	Porque Deus sabe que no dia em que dele comerdes se abrirão os vossos olhos, e sereis como Deus, conhecendo o bem e o mal.
Gênesis 3:6	E viu a mulher que aquela árvore era boa para se comer, e agradável aos olhos, e árvore desejável para dar entendimento; tomou do seu fruto, e comeu, e deu também a seu marido que estava com ela, e ele comeu.
Gênesis 3:7	Então foram abertos os olhos de ambos, e souberam que estavam nus; e coseram folhas de figueira, e fizeram para si aventais.
Gênesis 3:8	E ouviram a voz do Senhor Deus, que passeava no jardim pela viração do dia; e esconderam-se Adão e sua mulher da presença do Senhor Deus, entre as árvores do jardim.
Gênesis 3:9	E o Senhor Deus chamou Adão, e disse-lhe: Onde estás?
Gênesis 3:10	E ele disse: Ouvi a tua voz no jardim e temi, porque estava nu, e escondi-me.
Gênesis 3:11	E Deus disse: Quem te disse que estavas nu? Comeste tu da árvore de que te ordenei que não comesses?
Gênesis 3:12	Então disse Adão: A mulher que me deste por companheira, ela me deu da árvore, e eu comi.
Gênesis 3:13	E disse o Senhor Deus à mulher: Que é isto que fizeste? E disse a mulher: A serpente me enganou, e eu comi.
Gênesis 3:14	E o Senhor Deus disse à serpente: Porquanto fizeste isso, maldita serás mais que todo o gado, e mais que todos os animais do campo; sobre o teu ventre andarás, e pó comerás todos os dias da tua vida.
Gênesis 3:15	E porei inimizade entre ti e a mulher, e entre a tua semente e a sua semente; esta te ferirá a cabeça, e tu lhe ferirás o calcanhar.
Gênesis 3:16	E à mulher disse: Multiplicarei grandemente a tua dor e a tua concepção; com dor darás à luz filhos; e o teu desejo será para o teu marido, e ele te dominará.
Gênesis 3:17	E a Adão disse: Porquanto deste ouvidos à voz de tua mulher e comeste da árvore de que te ordenei, dizendo: Não comerás dela; maldita é a terra por causa de ti; com dor comerás dela todos os dias da tua vida.
Gênesis 3:18	Espinhos e cardos também te produzirá; e comerás a erva do campo.
Gênesis 3:19	No suor do teu rosto comerás o teu pão, até que retornes à terra, porque dela foste tomado; porquanto és pó, e ao pó retornarás.
Gênesis 3:20	E chamou Adão o nome de sua mulher Eva, porquanto ela era a mãe de todos os viventes.
Gênesis 3:21	E fez o Senhor Deus para Adão e para sua mulher túnicas de peles, e os vestiu.
Gênesis 3:22	Então disse o Senhor Deus: Eis que o homem é como um de nós, conhecendo o bem e o mal; ora, para que não estenda a sua mão, e tome também da árvore da vida, e coma, e viva para sempre,
Gênesis 3:23	O Senhor Deus, pois, o enviou para fora do jardim do Éden, para lavrar a terra de que fora tomado.
Gênesis 3:24	E havendo lançado para fora o homem, pôs querubins a oriente do jardim do Éden, e uma espada flamejante, que se revolvia para todos os lados, para guardar o caminho da árvore da vida.
Gênesis 4:1	E Adão conheceu sua mulher Eva, e ela concebeu e deu à luz Caim, e disse: Alcancei do Senhor um homem.
Gênesis 4:2	E também deu à luz seu irmão Abel; e Abel foi pastor de ovelhas, e Caim foi lavrador da terra.
Gênesis 4:3	E aconteceu ao cabo de dias que Caim trouxe do fruto da terra uma oferta ao Senhor.
Gênesis 4:4	E Abel também trouxe dos primogênitos das suas ovelhas e da sua gordura; e atentou o Senhor para Abel e para a sua oferta,
Gênesis 4:5	Mas para Caim e para a sua oferta não atentou. E irou-se Caim fortemente e descaiu-lhe o seu semblante.
Gênesis 4:6	E o Senhor disse a Caim: Por que te iraste? E por que descaiu o teu semblante?
Gênesis 4:7	Se procederes bem, não haverá aceitação para ti? Se não procederes bem, o pecado jaz à porta, e para ti será o seu desejo, e sobre ele dominarás.
Gênesis 4:8	E falou Caim com o seu irmão Abel; e sucedeu que, estando eles no campo, se levantou Caim contra o seu irmão Abel, e o matou.
Gênesis 4:9	E disse o Senhor a Caim: Onde está teu irmão Abel? E ele disse: Não sei; sou eu guardador do meu irmão?
Gênesis 4:10	E disse Deus: Que fizeste? A voz do sangue do teu irmão clama a mim desde a terra.
Gênesis 4:11	E agora maldito és tu desde a terra, que abriu a sua boca para receber da tua mão o sangue do teu irmão.
Gênesis 4:12	Quando lavrares a terra, não te dará mais a sua força; fugitivo e errante serás na terra.
Gênesis 4:13	E disse Caim ao Senhor: É maior a minha maldade que a que possa ser perdoada.
Gênesis 4:14	Eis que hoje me lanças da face da terra, e da tua face me esconderei; e serei fugitivo e errante na terra, e acontecerá que todo aquele que me achar me matará.
Gênesis 4:15	O Senhor, porém, disse-lhe: Portanto, qualquer que matar Caim sete vezes será castigado. E pôs o Senhor um sinal em Caim, para que não o matasse qualquer que o achasse.
Gênesis 4:16	E saiu Caim de diante da face do Senhor e habitou na terra de Node, a oriente do Éden.
Gênesis 4:17	E conheceu Caim sua mulher, e ela concebeu e deu à luz Enoque; e ele edificou uma cidade e chamou o nome da cidade pelo nome de seu filho Enoque.
Gênesis 4:18	E a Enoque nasceu Irade, e Irade gerou Meujael, e Meujael gerou Metusael, e Metusael gerou Lameque.
Gênesis 4:19	E tomou Lameque para si duas mulheres: o nome de uma era Ada, e o nome da outra, Zilá.
Gênesis 4:20	E Ada deu à luz Jabal; este foi o pai dos que habitam em tendas e têm gado.
Gênesis 4:21	E o nome do seu irmão era Jubal; este foi o pai de todos os que tocam harpa e flauta.
Gênesis 4:22	E Zilá também deu à luz Tubalcaim, mestre de toda a obra de bronze e de ferro; e a irmã de Tubalcaim foi Noema.
Gênesis 4:23	E disse Lameque a suas mulheres: Ada e Zilá, ouvi a minha voz; vós, mulheres de Lameque, escutai as minhas palavras; porque eu matei um homem por minha ferida, e um jovem por minha pisadura.
Gênesis 4:24	Porque sete vezes Caim será castigado, mas Lameque, setenta vezes sete.
Gênesis 4:25	E tornou Adão a conhecer sua mulher; e ela deu à luz um filho e chamou o seu nome Sete; porque, disse ela, Deus me deu outra semente em lugar de Abel, porquanto Caim o matou.
Gênesis 4:26	E a Sete também nasceu um filho, e chamou o seu nome Enos; então se começou a invocar o nome do Senhor.
Gênesis 5:1	Este é o livro das gerações de Adão. No dia em que Deus criou o homem, à semelhança de Deus o fez;
Gênesis 5:2	Macho e fêmea os criou, e os abençoou, e chamou o seu nome Adão, no dia em que foram criados.
Gênesis 5:3	E Adão viveu cento e trinta anos e gerou um filho à sua semelhança, conforme a sua imagem, e chamou o seu nome Sete.
Gênesis 5:4	E foram os dias de Adão, depois que gerou Sete, oitocentos anos; e gerou filhos e filhas.
Gênesis 5:5	E foram todos os dias que Adão viveu novecentos e trinta anos; e morreu.
Gênesis 5:6	E viveu Sete cento e cinco anos, e gerou Enos.
Gênesis 5:7	E viveu Sete, depois que gerou Enos, oitocentos e sete anos; e gerou filhos e filhas.
Gênesis 5:8	E foram todos os dias de Sete novecentos e doze anos; e morreu.
Gênesis 5:9	E viveu Enos noventa anos, e gerou Cainã.
Gênesis 5:10	E viveu Enos, depois que gerou Cainã, oitocentos e quinze anos; e gerou filhos e filhas.
Gênesis 5:11	E foram todos os dias de Enos novecentos e cinco anos; e morreu.
Gênesis 5:12	E viveu Cainã setenta anos, e gerou Maalalel.
Gênesis 5:13	E viveu Cainã, depois que gerou Maalalel, oitocentos e quarenta anos; e gerou filhos e filhas.
Gênesis 5:14	E foram todos os dias de Cainã novecentos e dez anos; e morreu.
Gênesis 5:15	E viveu Maalalel sessenta e cinco anos, e gerou Jarede.
Gênesis 5:16	E viveu Maalalel, depois que gerou Jarede, oitocentos e trinta anos; e gerou filhos e filhas.
Gênesis 5:17	E foram todos os dias de Maalalel oitocentos e noventa e cinco anos; e morreu.
Gênesis 5:18	E viveu Jarede cento e sessenta e dois anos, e gerou Enoque.
Gênesis 5:19	E viveu Jarede, depois que gerou Enoque, oitocentos anos; e gerou filhos e filhas.
Gênesis 5:20	E foram todos os dias de Jarede novecentos e sessenta e dois anos; e morreu.
Gênesis 5:21	E viveu Enoque sessenta e cinco anos, e gerou Matusalém.
Gênesis 5:22	E Enoque andou com Deus, depois que gerou Matusalém, trezentos anos; e gerou filhos e filhas.
Gênesis 5:23	E foram todos os dias de Enoque trezentos e sessenta e cinco anos.
Gênesis 5:24	E Enoque andou com Deus; e não estava mais, porquanto Deus para si o tomou.
Gênesis 5:25	E viveu Matusalém cento e oitenta e sete anos, e gerou Lameque.
Gênesis 5:26	E viveu Matusalém, depois que gerou Lameque, setecentos e oitenta e dois anos; e gerou filhos e filhas.
Gênesis 5:27	E foram todos os dias de Matusalém novecentos e sessenta e nove anos; e morreu.
Gênesis 5:28	E viveu Lameque cento e oitenta e dois anos; e gerou um filho,
Gênesis 5:29	E chamou o seu nome Noé, dizendo: Este nos consolará acerca de nossas obras, e da labuta de nossas mãos, por causa da terra que o Senhor amaldiçoou.
Gênesis 5:30	E viveu Lameque, depois que gerou Noé, quinhentos e noventa e cinco anos; e gerou filhos e filhas.
Gênesis 5:31	E foram todos os dias de Lameque setecentos e setenta e sete anos; e morreu.
Gênesis 5:32	E era Noé da idade de quinhentos anos; e Noé gerou Sem, Cão e Jafé.
Gênesis 6:1	E aconteceu que, quando os homens começaram a multiplicar-se sobre a face da terra e lhes nasceram filhas,
Gênesis 6:2	Viram os filhos de Deus que as filhas dos homens eram formosas; e tomaram para si mulheres de todas as que escolheram.
Gênesis 6:3	Então disse o Senhor: O meu espírito não permanecerá para sempre no homem, porque ele também é carne, porém os seus dias serão cento e vinte anos.
Gênesis 6:4	Havia naqueles dias gigantes na terra; e também depois, quando os filhos de Deus se achegaram às filhas dos homens, e delas geraram filhos; esses eram os valentes que houve na antiguidade, os homens de fama.
Gênesis 6:5	E viu o Senhor que a maldade do homem se multiplicara sobre a terra, e que toda a imaginação dos pensamentos de seu coração era só má continuamente.
Gênesis 6:6	E arrependeu-se o Senhor de haver feito o homem sobre a terra, e pesou-lhe em seu coração.
Gênesis 6:7	E disse o Senhor: Destruirei o homem que criei de sobre a face da terra, desde o homem até o animal, até o réptil, e até a ave dos céus, porque me arrependo de os haver feito.
Gênesis 6:8	Noé, porém, achou graça aos olhos do Senhor.
Gênesis 6:9	Estas são as gerações de Noé; Noé era homem justo e perfeito em suas gerações; Noé andava com Deus.
Gênesis 6:10	E gerou Noé três filhos: Sem, Cão e Jafé.
Gênesis 6:11	A terra, porém, estava corrompida diante da face de Deus; e encheu-se a terra de violência.
Gênesis 6:12	E viu Deus a terra, e eis que estava corrompida; porque toda a carne havia corrompido o seu caminho sobre a terra.
Gênesis 6:13	Então disse Deus a Noé: O fim de toda a carne chegou perante a minha face, porque a terra está cheia de violência; e eis que os desfarei com a terra.
Gênesis 6:14	Faze para ti uma arca da madeira de gofer; farás compartimentos na arca e a betumarás por dentro e por fora com betume.
Gênesis 6:15	E desta maneira a farás: De trezentos côvados o comprimento da arca, e de cinquenta côvados a sua largura, e de trinta côvados a sua altura.
Gênesis 6:16	Farás na arca uma janela, e de um côvado a acabarás em cima; e a porta da arca porás ao seu lado; far-lhe-ás andares baixos, segundos e terceiros.
Gênesis 6:17	Porque eis que eu trago um dilúvio de águas sobre a terra, para desfazer toda a carne em que há fôlego de vida debaixo dos céus; tudo o que há na terra expirará.
Gênesis 6:18	Mas contigo estabelecerei o meu convênio; e tu entrarás na arca, e os teus filhos, e a tua mulher, e as mulheres de teus filhos contigo.
Gênesis 6:19	E de tudo o que vive, de toda a carne, dois de cada espécie, farás entrar na arca, para os conservar vivos contigo; macho e fêmea serão.
Gênesis 6:20	Das aves conforme a sua espécie, e dos animais conforme a sua espécie, de todo réptil da terra conforme a sua espécie, dois de cada espécie virão a ti, para os conservar em vida.
Gênesis 6:21	E tu toma para ti de toda a comida que se come, e ajunta-a para ti; e te será para mantimento para ti e para eles.
Gênesis 6:22	Assim fez Noé; conforme tudo o que Deus lhe mandou, assim o fez.
Gênesis 7:1	Depois disse o Senhor a Noé: Entra tu e toda a tua casa na arca, porque vi que eras justo diante de mim nesta geração.
Gênesis 7:2	De todo animal limpo tomarás para ti sete pares, o macho e sua fêmea; mas dos animais que não são limpos, um par, o macho e sua fêmea.
Gênesis 7:3	Também das aves dos céus sete pares, macho e fêmea, para conservar em vida a semente sobre a face de toda a terra.
Gênesis 7:4	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda substância viva que fiz.
Gênesis 7:5	E Noé fez conforme tudo o que o Senhor lhe ordenara.
Gênesis 7:6	E era Noé da idade de seiscentos anos, quando o dilúvio das águas veio sobre a terra.
Gênesis 7:7	E entraram Noé, e seus filhos, e sua mulher, e as mulheres de seus filhos com ele na arca, por causa das águas do dilúvio.
Gênesis 7:8	Dos animais limpos, e dos animais que não são limpos, e das aves, e de todo réptil sobre a terra,
Gênesis 7:9	Entraram de dois em dois para junto de Noé na arca, macho e fêmea, como Deus ordenara a Noé.
Gênesis 7:10	E aconteceu que, passados sete dias, vieram sobre a terra as águas do dilúvio.
Gênesis 7:11	No ano seiscentos da vida de Noé, no mês segundo, aos dezessete dias do mês, naquele mesmo dia se romperam todas as fontes do grande abismo, e as janelas dos céus se abriram.
Gênesis 7:12	E houve chuva sobre a terra quarenta dias e quarenta noites.
Gênesis 7:13	E no mesmo dia entraram Noé, e Sem, e Cão, e Jafé, os filhos de Noé, como também a mulher de Noé, e as três mulheres de seus filhos com ele na arca,
Gênesis 7:14	Eles, e todo animal conforme a sua espécie, e todo o gado conforme a sua espécie, e todo réptil que rasteja sobre a terra conforme a sua espécie, e toda ave conforme a sua espécie, todo pássaro de todo tipo.
Gênesis 7:15	E de toda a carne, em que havia fôlego de vida, entraram de dois em dois para junto de Noé na arca.
Gênesis 7:16	E os que entraram, macho e fêmea de toda a carne entraram, como Deus lhe tinha ordenado; e o Senhor o fechou por fora.
Gênesis 7:17	E esteve o dilúvio quarenta dias sobre a terra, e cresceram as águas, e levantaram a arca, e ela se elevou sobre a terra.
Gênesis 7:18	E prevaleceram as águas e cresceram grandemente sobre a terra; e a arca andava sobre as águas.
Gênesis 7:19	E as águas prevaleceram excessivamente sobre a terra; e todos os altos montes, que havia debaixo de todo o céu, foram cobertos.
Gênesis 7:20	Quinze côvados acima prevaleceram as águas; e os montes foram cobertos.
Gênesis 7:21	E expirou toda a carne que se movia sobre a terra, tanto de ave como de gado, e de feras, e de todo réptil que rasteja sobre a terra, e todo homem.
Gênesis 7:22	Tudo o que tinha fôlego de vida em suas narinas, tudo o que havia no seco, morreu.
Gênesis 7:23	Assim foi desfeita toda substância viva que havia sobre a face da terra, desde o homem até o animal, até o réptil, e até a ave dos céus; e foram extintos da terra; e ficaram somente Noé e os que com ele estavam na arca.
Gênesis 7:24	E prevaleceram as águas sobre a terra cento e cinquenta dias.
Gênesis 8:1	E lembrou-se Deus de Noé, e de todo animal, e de todo o gado que com ele estava na arca; e Deus fez passar um vento sobre a terra, e aquietaram-se as águas.
Gênesis 8:2	Fecharam-se também as fontes do abismo e as janelas dos céus, e a chuva dos céus deteve-se.
Gênesis 8:3	E as águas escoaram gradualmente de sobre a terra, e ao cabo de cento e cinquenta dias as águas minguaram.
Gênesis 8:4	E a arca repousou no sétimo mês, no dia dezessete do mês, sobre os montes de Ararate.
Gênesis 8:5	E as águas foram minguando até o décimo mês; no décimo mês, no primeiro dia do mês, apareceram os cumes dos montes.
Gênesis 8:6	E aconteceu que, ao cabo de quarenta dias, abriu Noé a janela da arca que tinha feito.
Gênesis 8:7	E soltou um corvo, que saiu, indo e voltando, até que as águas secaram de sobre a terra.
Gênesis 8:8	Depois soltou uma pomba, para ver se as águas tinham minguado de sobre a face da terra.
Gênesis 8:9	A pomba, porém, não achou repouso para a planta do seu pé e voltou a ele para a arca, porque as águas estavam sobre a face de toda a terra; e ele estendeu a sua mão, e tomou-a, e recolheu-a para junto de si na arca.
Gênesis 8:10	E esperou ainda outros sete dias e tornou a enviar a pomba para fora da arca.
Gênesis 8:11	E a pomba voltou a ele à tarde; e eis, arrancada, uma folha de oliveira no seu bico; e soube Noé que as águas tinham minguado sobre a terra.
Gênesis 8:12	Então esperou ainda outros sete dias; e enviou para fora a pomba, mas não retornou mais a ele.
Gênesis 8:13	E aconteceu que no ano seiscentos e um, no mês primeiro, no primeiro dia do mês, as águas secaram de sobre a terra; então Noé tirou a cobertura da arca, e olhou, e eis que a face da terra estava enxuta.
Gênesis 8:14	E no segundo mês, aos vinte e sete dias do mês, a terra estava seca.
Gênesis 8:15	Então falou Deus a Noé, dizendo:
Gênesis 8:16	Sai da arca, tu, e tua mulher, e teus filhos, e as mulheres de teus filhos contigo.
Gênesis 8:17	Todo animal que está contigo, de toda a carne, de ave, e de gado, e de todo réptil que rasteja sobre a terra traze para fora contigo; e povoem abundantemente a terra, e frutifiquem, e se multipliquem sobre a terra.
Gênesis 8:18	Então saiu Noé, e seus filhos, e sua mulher, e as mulheres de seus filhos com ele.
Gênesis 8:19	Todo animal, todo réptil, e toda ave, e tudo o que se move sobre a terra, conforme as suas famílias, saiu para fora da arca.
Gênesis 8:20	E edificou Noé um altar ao Senhor; e tomou de todo animal limpo, e de toda ave limpa, e ofereceu holocaustos sobre o altar.
Gênesis 8:21	E o Senhor cheirou o suave cheiro, e disse o Senhor em seu coração: Não tornarei mais a amaldiçoar a terra por causa do homem, porque a imaginação do coração do homem é má desde a sua meninice, nem tornarei mais a destruir todo ser vivente, como fiz.
Gênesis 8:22	Enquanto a terra durar, semeadura e ceifa, e frio e calor, e verão e inverno, e dia e noite não cessarão.
Gênesis 9:1	E Deus abençoou Noé e seus filhos, e disse-lhes: Frutificai e multiplicai-vos, e enchei a terra.
Gênesis 9:2	E o temor de vós e o pavor de vós serão sobre todo animal da terra, e sobre toda ave dos céus, tudo o que se move sobre a terra, e todos os peixes do mar; na vossa mão são entregues.
Gênesis 9:3	Tudo quanto se move, que é vivente, será para vosso mantimento; assim como a erva verde, tudo vos dei.
Gênesis 9:4	A carne, porém, com sua vida, isto é, com seu sangue, não comereis.
Gênesis 9:5	E certamente requererei o vosso sangue, o sangue da vossa vida; da mão de todo animal o requererei, como também da mão do homem, e da mão do irmão de cada um requererei a vida do homem.
Gênesis 9:6	Quem derramar o sangue do homem, pelo homem o seu sangue será derramado, porque Deus fez o homem conforme a sua imagem.
Gênesis 9:7	Mas vós, frutificai e multiplicai-vos; povoai abundantemente a terra e multiplicai-vos nela.
Gênesis 9:8	E falou Deus a Noé e a seus filhos com ele, dizendo:
Gênesis 9:9	E eu, eis que eu estabeleço o meu convênio convosco e com a vossa semente depois de vós,
Gênesis 9:10	E com toda alma vivente, que convosco está, de aves, de gado, e de todo animal da terra convosco, desde todos os que saíram da arca, até todo animal da terra.
Gênesis 9:11	E eu convosco estabeleço o meu convênio, que não será mais destruída toda a carne pelas águas do dilúvio, e que não haverá mais dilúvio para destruir a terra.
Gênesis 9:12	E disse Deus: Este é o sinal do convênio que ponho entre mim e vós, e entre toda alma vivente que está convosco, por gerações eternas:
Gênesis 9:13	O meu arco pus na nuvem, e esse será por sinal do convênio entre mim e a terra.
Gênesis 9:14	E acontecerá que, quando eu trouxer nuvens sobre a terra, aparecerá o arco nas nuvens;
Gênesis 9:15	Então me lembrarei do meu convênio, que está entre mim e vós, e entre toda alma vivente de toda a carne; e as águas não se tornarão mais em dilúvio para destruir toda a carne.
Gênesis 9:16	E estará o arco nas nuvens, e eu o verei, para me lembrar do convênio eterno entre Deus e toda alma vivente de toda a carne que está sobre a terra.
Gênesis 9:17	E disse Deus a Noé: Esse é o sinal do convênio que estabeleci entre mim e entre toda a carne que está sobre a terra.
Gênesis 9:18	E os filhos de Noé, que da arca saíram, foram Sem, e Cão, e Jafé; e Cão é o pai de Canaã.
Gênesis 9:19	Esses três foram os filhos de Noé; e desses se povoou toda a terra.
Gênesis 9:20	E começou Noé a ser lavrador da terra, e plantou uma vinha;
Gênesis 9:21	E bebeu do vinho, e embebedou-se; e descobriu-se no meio de sua tenda.
Gênesis 9:22	E viu Cão, o pai de Canaã, a nudez do seu pai, e fê-lo saber, fora, a ambos seus irmãos.
Gênesis 9:23	Então tomaram Sem e Jafé uma capa, e puseram-na sobre ambos os seus ombros, e indo virados para trás, cobriram a nudez do seu pai, e os seus rostos estavam virados, de maneira que não viram a nudez do seu pai.
Gênesis 9:24	E despertou Noé do seu vinho e soube o que seu filho menor lhe fizera.
Gênesis 9:25	E disse: Maldito seja Canaã; servo dos servos seja aos seus irmãos.
Gênesis 9:26	E disse: Bendito seja o Senhor Deus de Sem; e seja-lhe Canaã por servo.
Gênesis 9:27	Alargue Deus a Jafé, e habite nas tendas de Sem; e seja-lhe Canaã por servo.
Gênesis 9:28	E viveu Noé, depois do dilúvio, trezentos e cinquenta anos.
Gênesis 9:29	E foram todos os dias de Noé novecentos e cinquenta anos; e morreu.
Gênesis 10:1	Estas pois são as gerações dos filhos de Noé: Sem, Cão, e Jafé; e nasceram-lhes filhos depois do dilúvio.
